from,to,weight,edge_type,level,level_name
ASV_00002,ASV_00005,0.8,pos,Farm,Fran
ASV_00002,ASV_00015,0.791,pos,Farm,Fran
ASV_00002,ASV_00016,0.552,pos,Farm,Fran
ASV_00002,ASV_00021,0.655,pos,Farm,Fran
ASV_00002,ASV_00030,0.782,pos,Farm,Fran
ASV_00002,ASV_00032,0.73,pos,Farm,Fran
ASV_00002,ASV_00036,0.721,pos,Farm,Fran
ASV_00002,ASV_00039,0.506,pos,Farm,Fran
ASV_00002,ASV_00048,0.543,pos,Farm,Fran
ASV_00002,ASV_00050,0.576,pos,Farm,Fran
ASV_00002,ASV_00052,0.257,pos,Farm,Fran
ASV_00002,ASV_00056,0.693,pos,Farm,Fran
ASV_00002,ASV_00058,0.623,pos,Farm,Fran
ASV_00002,ASV_00059,0.665,pos,Farm,Fran
ASV_00002,ASV_00060,0.431,pos,Farm,Fran
ASV_00002,ASV_00061,0.304,pos,Farm,Fran
ASV_00002,ASV_00063,0.721,pos,Farm,Fran
ASV_00002,ASV_00066,0.281,pos,Farm,Fran
ASV_00002,ASV_00068,0.683,pos,Farm,Fran
ASV_00002,ASV_00069,0.454,pos,Farm,Fran
ASV_00002,ASV_00071,0.74,pos,Farm,Fran
ASV_00002,ASV_00072,0.393,pos,Farm,Fran
ASV_00002,ASV_00076,0.632,pos,Farm,Fran
ASV_00002,ASV_00080,0.506,pos,Farm,Fran
ASV_00002,ASV_00081,0.768,pos,Farm,Fran
ASV_00002,ASV_00083,0.782,pos,Farm,Fran
ASV_00002,ASV_00085,0.351,pos,Farm,Fran
ASV_00002,ASV_00089,0.74,pos,Farm,Fran
ASV_00002,ASV_00090,0.594,pos,Farm,Fran
ASV_00002,ASV_00092,0.693,pos,Farm,Fran
ASV_00002,ASV_00093,0.449,pos,Farm,Fran
ASV_00002,ASV_00094,0.281,pos,Farm,Fran
ASV_00002,ASV_00097,0.744,pos,Farm,Fran
ASV_00002,ASV_00104,0.487,pos,Farm,Fran
ASV_00002,ASV_00113,0.571,pos,Farm,Fran
ASV_00002,ASV_00115,0.253,pos,Farm,Fran
ASV_00002,ASV_00116,0.618,pos,Farm,Fran
ASV_00002,ASV_00123,0.248,pos,Farm,Fran
ASV_00002,ASV_00128,0.768,pos,Farm,Fran
ASV_00002,ASV_00132,0.459,pos,Farm,Fran
ASV_00002,ASV_00140,0.538,pos,Farm,Fran
ASV_00002,ASV_00146,0.36,pos,Farm,Fran
ASV_00002,ASV_00150,0.538,pos,Farm,Fran
ASV_00002,ASV_00151,0.454,pos,Farm,Fran
ASV_00002,ASV_00153,0.468,pos,Farm,Fran
