ASV_ID,edge_type
ASV_00003,pos
ASV_00004,pos
ASV_00006,pos
ASV_00007,pos
ASV_00008,pos
ASV_00012,pos
ASV_00019,pos
ASV_00022,pos
ASV_00023,pos
ASV_00026,pos
ASV_00028,pos
ASV_00029,pos
ASV_00046,pos
ASV_00053,pos
ASV_00067,pos
ASV_00003,neg
ASV_00004,neg
ASV_00006,neg
ASV_00007,neg
ASV_00008,neg
ASV_00009,neg
ASV_00010,neg
ASV_00011,neg
ASV_00012,neg
ASV_00019,neg
ASV_00020,neg
ASV_00022,neg
ASV_00023,neg
ASV_00024,neg
ASV_00026,neg
ASV_00028,neg
ASV_00029,neg
ASV_00030,neg
ASV_00031,neg
ASV_00032,neg
ASV_00040,neg
ASV_00044,neg
ASV_00046,neg
ASV_00053,neg
ASV_00055,neg
ASV_00062,neg
ASV_00063,neg
ASV_00067,neg
ASV_00087,neg
ASV_00116,neg
ASV_00142,neg
ASV_00148,neg
ASV_00161,neg
ASV_00163,neg
ASV_00249,neg
ASV_00267,neg
ASV_00459,neg
