from,to,weight,edge_type,level,level_name
ASV_00007,ASV_00042,0.532,pos,Farm,FI1
ASV_00007,ASV_00064,0.34,pos,Farm,FI1
ASV_00007,ASV_00185,0.429,pos,Farm,FI1
ASV_00007,ASV_00260,0.37,pos,Farm,FI1
ASV_00007,ASV_00269,0.37,pos,Farm,FI1
ASV_00007,ASV_00298,0.443,pos,Farm,FI1
ASV_00007,ASV_00329,0.37,pos,Farm,FI1
ASV_00007,ASV_00474,0.473,pos,Farm,FI1
ASV_00012,ASV_00039,0.655,pos,Farm,FI1
ASV_00012,ASV_00805,0.639,pos,Farm,FI1
ASV_00013,ASV_00045,0.324,pos,Farm,FI1
ASV_00013,ASV_00081,0.196,pos,Farm,FI1
ASV_00013,ASV_00092,0.485,pos,Farm,FI1
ASV_00013,ASV_00105,0.647,pos,Farm,FI1
ASV_00013,ASV_00126,0.277,pos,Farm,FI1
ASV_00013,ASV_00163,0.485,pos,Farm,FI1
ASV_00013,ASV_00166,0.092,pos,Farm,FI1
ASV_00013,ASV_00168,0.185,pos,Farm,FI1
ASV_00013,ASV_00182,0.15,pos,Farm,FI1
ASV_00013,ASV_00196,0.208,pos,Farm,FI1
ASV_00013,ASV_00209,0.22,pos,Farm,FI1
ASV_00013,ASV_00270,0.243,pos,Farm,FI1
ASV_00013,ASV_00281,0.324,pos,Farm,FI1
ASV_00013,ASV_00377,0.347,pos,Farm,FI1
ASV_00013,ASV_00392,0.092,pos,Farm,FI1
ASV_00013,ASV_00497,0.22,pos,Farm,FI1
ASV_00013,ASV_00545,0.092,pos,Farm,FI1
ASV_00013,ASV_00573,0.092,pos,Farm,FI1
ASV_00013,ASV_00588,0.104,pos,Farm,FI1
ASV_00013,ASV_00634,0.092,pos,Farm,FI1
ASV_00013,ASV_00640,0.312,pos,Farm,FI1
ASV_00013,ASV_00865,0.196,pos,Farm,FI1
ASV_00013,ASV_00994,0.092,pos,Farm,FI1
ASV_00013,ASV_01009,0.15,pos,Farm,FI1
ASV_00013,ASV_01032,0.381,pos,Farm,FI1
ASV_00013,ASV_01099,0.15,pos,Farm,FI1
ASV_00013,ASV_01188,0.208,pos,Farm,FI1
ASV_00013,ASV_01439,0.15,pos,Farm,FI1
ASV_00013,ASV_01622,0.104,pos,Farm,FI1
ASV_00013,ASV_01893,0.127,pos,Farm,FI1
ASV_00016,ASV_00061,0.556,pos,Farm,FI1
ASV_00016,ASV_00078,0.341,pos,Farm,FI1
ASV_00016,ASV_00144,0.316,pos,Farm,FI1
ASV_00016,ASV_00223,0.354,pos,Farm,FI1
ASV_00016,ASV_00493,0.227,pos,Farm,FI1
ASV_00016,ASV_00640,0.341,pos,Farm,FI1
ASV_00016,ASV_00786,0.278,pos,Farm,FI1
ASV_00016,ASV_01103,0.139,pos,Farm,FI1
ASV_00016,ASV_01893,0.139,pos,Farm,FI1
ASV_00018,ASV_00046,0.857,pos,Farm,FI1
ASV_00018,ASV_00057,0.935,pos,Farm,FI1
ASV_00018,ASV_00085,0.592,pos,Farm,FI1
ASV_00018,ASV_00275,0.592,pos,Farm,FI1
ASV_00019,ASV_00059,0.904,pos,Farm,FI1
ASV_00019,ASV_00060,0.655,pos,Farm,FI1
ASV_00019,ASV_00066,0.67,pos,Farm,FI1
ASV_00019,ASV_00092,0.655,pos,Farm,FI1
ASV_00019,ASV_00136,0.717,pos,Farm,FI1
ASV_00019,ASV_00171,0.623,pos,Farm,FI1
ASV_00019,ASV_00645,0.623,pos,Farm,FI1
ASV_00020,ASV_00035,0.617,pos,Farm,FI1
ASV_00020,ASV_00042,0.435,pos,Farm,FI1
ASV_00020,ASV_00058,0.556,pos,Farm,FI1
ASV_00020,ASV_00060,0.508,pos,Farm,FI1
ASV_00020,ASV_00066,0.52,pos,Farm,FI1
ASV_00020,ASV_00071,0.339,pos,Farm,FI1
ASV_00020,ASV_00085,0.46,pos,Farm,FI1
ASV_00020,ASV_00090,0.605,pos,Farm,FI1
ASV_00020,ASV_00112,0.278,pos,Farm,FI1
ASV_00020,ASV_00116,0.29,pos,Farm,FI1
ASV_00020,ASV_00121,0.387,pos,Farm,FI1
ASV_00020,ASV_00131,0.665,pos,Farm,FI1
ASV_00020,ASV_00133,0.23,pos,Farm,FI1
ASV_00020,ASV_00134,0.121,pos,Farm,FI1
ASV_00020,ASV_00135,0.181,pos,Farm,FI1
ASV_00020,ASV_00136,0.556,pos,Farm,FI1
ASV_00020,ASV_00138,0.52,pos,Farm,FI1
ASV_00020,ASV_00157,0.496,pos,Farm,FI1
ASV_00020,ASV_00171,0.484,pos,Farm,FI1
ASV_00020,ASV_00197,0.641,pos,Farm,FI1
ASV_00020,ASV_00206,0.242,pos,Farm,FI1
ASV_00020,ASV_00218,0.327,pos,Farm,FI1
