ASV_00002,ASV_00003,ASV_00004,ASV_00005,ASV_00006,ASV_00007,ASV_00008,ASV_00009,ASV_00010,ASV_00011,ASV_00012,ASV_00013,ASV_00014,ASV_00015,ASV_00016,ASV_00018,ASV_00019,ASV_00020,ASV_00021,ASV_00022,ASV_00023,ASV_00024,ASV_00026,ASV_00027,ASV_00028,ASV_00029,ASV_00030,ASV_00031,ASV_00032,ASV_00033,ASV_00034,ASV_00035,ASV_00036,ASV_00037,ASV_00039,ASV_00040,ASV_00041,ASV_00042,ASV_00044,ASV_00045,ASV_00046,ASV_00048,ASV_00049,ASV_00050,ASV_00051,ASV_00052,ASV_00053,ASV_00054,ASV_00055,ASV_00056,ASV_00057,ASV_00058,ASV_00059,ASV_00060,ASV_00061,ASV_00062,ASV_00063,ASV_00064,ASV_00066,ASV_00067,ASV_00069,ASV_00070,ASV_00071,ASV_00074,ASV_00076,ASV_00078,ASV_00080,ASV_00081,ASV_00082,ASV_00083,ASV_00084,ASV_00085,ASV_00086,ASV_00087,ASV_00088,ASV_00090,ASV_00092,ASV_00093,ASV_00094,ASV_00095,ASV_00096,ASV_00097,ASV_00100,ASV_00101,ASV_00104,ASV_00105,ASV_00106,ASV_00107,ASV_00109,ASV_00110,ASV_00112,ASV_00113,ASV_00116,ASV_00118,ASV_00120,ASV_00123,ASV_00125,ASV_00126,ASV_00128,ASV_00131,ASV_00134,ASV_00135,ASV_00136,ASV_00138,ASV_00139,ASV_00140,ASV_00141,ASV_00142,ASV_00143,ASV_00144,ASV_00146,ASV_00148,ASV_00149,ASV_00151,ASV_00152,ASV_00155,ASV_00156,ASV_00157,ASV_00159,ASV_00160,ASV_00161,ASV_00163,ASV_00164,ASV_00165,ASV_00166,ASV_00167,ASV_00170,ASV_00171,ASV_00172,ASV_00174,ASV_00177,ASV_00179,ASV_00180,ASV_00181,ASV_00182,ASV_00185,ASV_00186,ASV_00187,ASV_00191,ASV_00193,ASV_00196,ASV_00197,ASV_00198,ASV_00200,ASV_00201,ASV_00204,ASV_00205,ASV_00210,ASV_00211,ASV_00217,ASV_00218,ASV_00219,ASV_00223,ASV_00224,ASV_00231,ASV_00232,ASV_00233,ASV_00235,ASV_00236,ASV_00237,ASV_00240,ASV_00241,ASV_00242,ASV_00243,ASV_00248,ASV_00249,ASV_00250,ASV_00251,ASV_00252,ASV_00254,ASV_00255,ASV_00256,ASV_00257,ASV_00258,ASV_00260,ASV_00261,ASV_00262,ASV_00265,ASV_00267,ASV_00268,ASV_00269,ASV_00274,ASV_00275,ASV_00276,ASV_00277,ASV_00280,ASV_00281,ASV_00288,ASV_00289,ASV_00290,ASV_00292,ASV_00293,ASV_00294,ASV_00296,ASV_00297,ASV_00298,ASV_00301,ASV_00303,ASV_00309,ASV_00313,ASV_00314,ASV_00315,ASV_00318,ASV_00323,ASV_00324,ASV_00328,ASV_00329,ASV_00331,ASV_00332,ASV_00334,ASV_00335,ASV_00341,ASV_00342,ASV_00348,ASV_00349,ASV_00350,ASV_00351,ASV_00356,ASV_00360,ASV_00361,ASV_00363,ASV_00364,ASV_00365,ASV_00366,ASV_00367,ASV_00369,ASV_00371,ASV_00373,ASV_00374,ASV_00376,ASV_00379,ASV_00382,ASV_00384,ASV_00385,ASV_00386,ASV_00387,ASV_00392,ASV_00395,ASV_00400,ASV_00406,ASV_00410,ASV_00415,ASV_00416,ASV_00417,ASV_00419,ASV_00424,ASV_00426,ASV_00431,ASV_00435,ASV_00438,ASV_00441,ASV_00442,ASV_00444,ASV_00446,ASV_00447,ASV_00449,ASV_00452,ASV_00456,ASV_00464,ASV_00470,ASV_00471,ASV_00472,ASV_00474,ASV_00475,ASV_00477,ASV_00478,ASV_00481,ASV_00483,ASV_00484,ASV_00486,ASV_00487,ASV_00490,ASV_00493,ASV_00494,ASV_00495,ASV_00497,ASV_00502,ASV_00504,ASV_00505,ASV_00508,ASV_00509,ASV_00515,ASV_00517,ASV_00520,ASV_00524,ASV_00534,ASV_00535,ASV_00541,ASV_00543,ASV_00546,ASV_00548,ASV_00552,ASV_00554,ASV_00557,ASV_00559,ASV_00563,ASV_00570,ASV_00574,ASV_00575,ASV_00583,ASV_00587,ASV_00590,ASV_00593,ASV_00600,ASV_00601,ASV_00603,ASV_00607,ASV_00610,ASV_00614,ASV_00621,ASV_00627,ASV_00630,ASV_00631,ASV_00638,ASV_00640,ASV_00641,ASV_00643,ASV_00644,ASV_00645,ASV_00647,ASV_00649,ASV_00652,ASV_00654,ASV_00656,ASV_00659,ASV_00662,ASV_00666,ASV_00671,ASV_00675,ASV_00683,ASV_00685,ASV_00686,ASV_00688,ASV_00689,ASV_00693,ASV_00700,ASV_00704,ASV_00709,ASV_00711,ASV_00712,ASV_00721,ASV_00722,ASV_00723,ASV_00726,ASV_00727,ASV_00735,ASV_00736,ASV_00737,ASV_00743,ASV_00746,ASV_00747,ASV_00751,ASV_00763,ASV_00764,ASV_00774,ASV_00775,ASV_00786,ASV_00788,ASV_00792,ASV_00794,ASV_00795,ASV_00801,ASV_00803,ASV_00804,ASV_00807,ASV_00810,ASV_00814,ASV_00825,ASV_00833,ASV_00834,ASV_00843,ASV_00854,ASV_00860,ASV_00865,ASV_00868,ASV_00874,ASV_00888,ASV_00891,ASV_00897,ASV_00910,ASV_00912,ASV_00913,ASV_00914,ASV_00920,ASV_00928,ASV_00930,ASV_00939,ASV_00973,ASV_00976,ASV_00978,ASV_00983,ASV_00996,ASV_01004,ASV_01009,ASV_01016,ASV_01022,ASV_01029,ASV_01031,ASV_01037,ASV_01040,ASV_01046,ASV_01048,ASV_01053,ASV_01054,ASV_01074,ASV_01077,ASV_01090,ASV_01094,ASV_01105,ASV_01107,ASV_01111,ASV_01123,ASV_01128,ASV_01131,ASV_01140,ASV_01141,ASV_01159,ASV_01169,ASV_01176,ASV_01178,ASV_01182,ASV_01196,ASV_01205,ASV_01207,ASV_01208,ASV_01220,ASV_01230,ASV_01246,ASV_01289,ASV_01294,ASV_01312,ASV_01363,ASV_01375,ASV_01378,ASV_01396,ASV_01408,ASV_01416,ASV_01421,ASV_01482,ASV_01483,ASV_01495,ASV_01514,ASV_01549,ASV_01556,ASV_01558,ASV_01581,ASV_01635,ASV_01684,ASV_01692,ASV_01706,ASV_01780,ASV_01861,ASV_01956,ASV_01986,ASV_02027,ASV_02038,ASV_02120,ASV_02163,ASV_02272,ASV_02358,ASV_02424
0,0,0,0,0,0.784,0,0.604,0,0,0.831,0.604,0,0,0.548,0,0,0.642,0,0,0,0,0.642,0,0,0.821,0,0,0,0.566,0,0.604,0.717,0,0,0,0,0.717,0,0.566,0.623,0.595,0.415,0,0.68,0,0.661,0,0,0.784,0,0,0.661,0,0.774,0,0,0,0.821,0,0,0.651,0,0,0.538,0.67,0,0,0.548,0.415,0,0,0.68,0.727,0,0,0,0,0,0,0,0.321,0,0,0,0,0.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614,0,0.538,0,0,0,0,0,0,0,0.623,0,0,0.472,0,0.472,0.717,0,0,0,0.623,0,0.274,0,0,0,0.491,0,0,0,0.387,0,0.321,0.463,0.34,0,0,0.717,0,0,0.717,0,0,0,0.444,0,0,0,0,0.595,0,0.472,0,0,0.661,0,0,0,0,0.67,0.415,0.576,0,0,0.642,0,0,0,0,0.349,0,0,0.463,0,0,0,0,0,0,0.396,0.5,0,0,0,0,0,0.378,0,0.699,0.614,0,0,0,0,0,0,0,0.585,0,0,0,0,0,0,0,0,0,0,0,0.727,0.396,0.548,0.321,0.34,0.481,0,0.566,0,0.444,0,0.453,0,0,0.321,0.463,0,0,0,0,0.5,0,0,0,0,0.67,0,0,0,0.387,0,0,0,0,0,0,0.548,0,0,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0,0,0,0,0,0.585,0,0,0,0,0,0,0,0,0,0,0,0.463,0,0.481,0,0,0,0.415,0,0.321,0,0,0.453,0,0,0,0,0,0,0,0,0,0.425,0,0.614,0,0,0,0,0,0,0.463,0,0,0,0,0,0.529,0,0.359,0,0.5,0,0,0,0,0,0,0.661,0,0,0.312,0.274,0,0,0,0,0,0,0.283,0,0,0,0.406,0,0,0,0.378,0.415,0,0.378,0,0.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0.378,0,0,0,0,0.293,0,0,0,0,0,0,0,0,0.566,0,0,0,0,0.33,0,0,0,0,0.378,0,0,0,0,0,0,0,0.406,0,0,0,0,0,0,0,0.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453,0,0,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0,0,0,0.274
0,0,0.969,0,0.969,0,0.959,0,0.959,0.959,0.898,0,0,0,0,0,0.959,0,0,0.867,0.969,0.898,0,0,0.826,0,0.877,0,0.969,0,0,0,0.775,0,0.765,0.928,0,0.775,0.908,0,0,0,0,0.959,0,0,0,0.796,0,0.847,0.847,0,0,0,0.836,0,0,0,0,0,0,0,0.836,0,0,0,0,0,0,0,0,0.898,0,0.785,0,0.857,0,0,0,0,0,0,0,0,0.918,0,0,0,0,0,0,0,0,0,0,0,0.796,0,0.796,0,0,0,0.887,0,0,0,0,0.826,0,0,0,0,0.949,0,0,0,0,0.775,0,0,0,0,0.806,0,0,0,0,0,0,0.857,0.887,0,0.806,0,0,0,0,0.826,0,0,0,0.775,0,0.816,0,0,0,0.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765,0,0,0,0,0,0,0,0.796,0,0,0,0,0,0,0,0,0,0.857,0,0,0,0,0,0.785,0,0,0,0,0,0.765,0,0,0,0,0,0,0,0,0,0,0,0,0.785,0,0,0,0.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.969,0,0,0.979,0,0,0,0.969,0.969,0,0,0,0,0,0,0.969,0,0,0,0.979,0,0,0,0,0,0,0,0.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.969,0.979,0,0,0,0,0,0.969,0.969,0,0,0,0,0,0,0.969,0,0,0,0.979,0,0,0,0,0,0,0,0.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.784,0,0,0,0,0,0,0.576,0.847,0,0.793,0.576,0,0,0.522,0,0.847,0.612,0,0.766,0,0.793,0.612,0,0.729,0.784,0.775,0,0,0.54,0,0.576,0.684,0,0,0,0,0.684,0.802,0.54,0.594,0.567,0.396,0,0.648,0,0.63,0.702,0.811,0.748,0.748,0.621,0.63,0,0,0,0,0,0.784,0.829,0,0.621,0.738,0,0.513,0.639,0,0.766,0.522,0.396,0,0.793,0.648,0.693,0.279,0,0.666,0,0,0,0.612,0,0,0.603,0.811,0.82,0.576,0.549,0.261,0.513,0,0,0.594,0,0.288,0.396,0,0,0.702,0.639,0,0.585,0.784,0.513,0,0.279,0,0.729,0,0.342,0.387,0.594,0,0,0.45,0,0.45,0.684,0.387,0.594,0,0.594,0.711,0.261,0.333,0,0,0.468,0,0,0,0.369,0,0.306,0.441,0,0,0,0.684,0,0.342,0.684,0.315,0,0.585,0.423,0.324,0,0,0,0.567,0,0.45,0,0.441,0.63,0,0.297,0,0,0.639,0.396,0.549,0,0,0.612,0.72,0,0.45,0,0.333,0,0,0.441,0,0,0.279,0,0,0,0.378,0.477,0,0.432,0,0,0.675,0.36,0,0.666,0.585,0,0,0.504,0,0.549,0,0.306,0.558,0,0,0,0,0.297,0,0,0,0,0.558,0,0.693,0.378,0.522,0.306,0.324,0.459,0.675,0.54,0,0.423,0,0.432,0.495,0,0.306,0.441,0.27,0.423,0,0,0.477,0.567,0.486,0,0,0.639,0,0,0,0.369,0,0,0,0.342,0,0.387,0.522,0,0,0,0,0.36,0,0.342,0,0,0.54,0.27,0,0,0,0,0,0,0,0,0,0,0.351,0.297,0.486,0.432,0.612,0,0.558,0.495,0,0,0,0,0.324,0.27,0,0,0.288,0,0.441,0,0.459,0,0,0,0.396,0,0.306,0,0,0.432,0,0,0.666,0,0,0,0.693,0,0,0.405,0,0.585,0,0,0,0.414,0,0.306,0.441,0,0.324,0,0.27,0,0.504,0,0,0,0.477,0.486,0,0.288,0,0.324,0,0,0,0,0.297,0.261,0,0.261,0,0,0.432,0.396,0.27,0,0,0.288,0.387,0.54,0,0,0.36,0.396,0,0.36,0,0.297,0,0,0,0.549,0,0,0.297,0,0,0,0,0.27,0,0,0.405,0,0,0.261,0.36,0.261,0,0,0,0,0,0,0,0.36,0,0,0,0,0.279,0,0.45,0,0,0,0,0,0,0.54,0,0.324,0,0,0.315,0,0.261,0,0,0.36,0.342,0,0,0.36,0.324,0.261,0,0.387,0,0.549,0,0,0,0,0,0.495,0,0,0,0,0.315,0.342,0,0,0,0,0.288,0,0,0.432,0,0.279,0,0,0,0,0,0,0.27,0,0,0.279,0,0,0,0,0,0.432,0.297,0,0.261
0,0.959,0,0,0,0,0,0,0,0,0.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826,0,0,0,0,0,0,0,0.775,0,0,0.928,0,0.775,0,0,0,0,0,0.959,0,0,0,0,0,0.847,0,0,0,0,0.836,0,0,0,0,0,0,0,0,0,0,0,0.826,0.867,0,0,0,0,0,0.785,0,0,0,0,0,0,0,0,0,0,0.918,0,0,0,0,0,0,0,0,0,0,0,0,0.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775,0,0,0,0,0,0,0,0,0,0,0,0.857,0.887,0,0.806,0,0,0,0,0.826,0,0,0,0.775,0,0.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765,0,0,0,0,0,0,0,0,0,0.826,0,0,0,0,0,0,0,0.857,0,0,0.867,0,0,0.785,0,0,0,0,0,0.765,0,0,0,0,0,0,0,0,0,0,0,0,0.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785,0,0,0,0,0,0.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.604,0,0,0,0,0.576,0,0,0,0,0.611,0.444,0,0,0.403,0,0,0.472,0,0.59,0,0,0.472,0,0.562,0.604,0.597,0.604,0,0.417,0,0.444,0.528,0,0,0.632,0,0.528,0.618,0.417,0.458,0.438,0.306,0,0.5,0,0.486,0.542,0.625,0.576,0.576,0,0.486,0,0.569,0,0.486,0,0.604,0,0,0.479,0.569,0,0.396,0.493,0,0,0.403,0.306,0,0,0.5,0.535,0.215,0,0,0.556,0,0,0.472,0,0,0.465,0,0,0.444,0.424,0.201,0.396,0.632,0,0,0,0.222,0.306,0,0,0.542,0.493,0,0.451,0.604,0.396,0,0.215,0,0.562,0,0.264,0.299,0.458,0.646,0.41,0.347,0.312,0.347,0.528,0.299,0.458,0,0.458,0.549,0.201,0.257,0.444,0.243,0.361,0,0,0,0.285,0,0,0.34,0.25,0,0.562,0.528,0.208,0.264,0.528,0.243,0.556,0.451,0.326,0.25,0,0,0,0.438,0.465,0.347,0,0.34,0.486,0,0.229,0,0,0.493,0.306,0.424,0,0,0.472,0,0,0.347,0,0.257,0,0,0.34,0,0,0.215,0,0,0,0.292,0.368,0,0,0,0,0,0.278,0,0.514,0.451,0,0.222,0.389,0,0.424,0,0.236,0.431,0.34,0,0,0,0.229,0.583,0,0.507,0,0,0,0.535,0,0.403,0.236,0.25,0.354,0.521,0.417,0,0.326,0,0.333,0.382,0,0.236,0.34,0.208,0,0,0,0.368,0.438,0.375,0,0,0.493,0,0,0,0.285,0,0,0,0.264,0,0.299,0.403,0,0.264,0,0,0,0,0.264,0.465,0,0.417,0.208,0,0,0,0.25,0,0,0,0,0.604,0,0.271,0.229,0,0,0.472,0.451,0.431,0.382,0,0,0,0,0.25,0.208,0.236,0,0,0,0.34,0,0.354,0,0.299,0,0.306,0,0.236,0,0,0.333,0,0.347,0,0,0,0.278,0.535,0.326,0,0.312,0,0,0,0,0,0.319,0,0.236,0.34,0,0.25,0,0.208,0,0.389,0,0.264,0,0.368,0.375,0,0.222,0,0.25,0,0,0,0,0,0.201,0,0,0,0,0,0.306,0,0,0,0,0.299,0.417,0,0,0.278,0.306,0,0.278,0,0.229,0,0,0,0,0,0,0.229,0,0,0,0,0,0,0,0.312,0,0.306,0.201,0.278,0,0,0,0,0,0,0.319,0,0.278,0,0,0,0,0.215,0,0.347,0,0,0,0,0,0,0.417,0,0,0,0.208,0.243,0,0.201,0,0,0.278,0.264,0,0,0,0,0.201,0,0.299,0,0.424,0,0,0,0,0.431,0.382,0,0,0,0,0.243,0.264,0,0,0,0,0.222,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0.215,0,0,0,0,0,0,0.229,0,0.201
0,0.959,0.969,0,0.969,0.847,0,0,0,0.959,0.898,0,0,0,0,0,0.959,0,0,0.867,0.969,0,0,0,0.826,0,0.877,0.887,0.969,0,0,0,0.775,0,0,0,0,0.775,0.908,0,0,0,0,0,0,0,0,0.796,0,0.847,0.847,0,0,0,0.836,0,0,0,0.887,0,0,0,0.836,0,0,0,0,0,0,0,0,0.898,0,0.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826,0,0,0,0,0,0,0,0,0,0.775,0,0,0,0,0.806,0,0,0,0,0,0,0,0,0,0.806,0,0,0,0,0.826,0,0,0,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857,0,0,0,0,0,0.785,0,0,0,0,0,0.765,0,0,0,0,0,0,0,0,0,0,0,0,0.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.959,0.969,0,0.969,0,0,0,0.959,0,0.898,0,0,0,0,0,0.959,0,0,0,0.969,0,0,0,0,0,0,0,0.969,0,0,0,0.775,0,0.765,0.928,0,0,0.908,0,0,0,0,0,0,0,0,0.796,0,0.847,0,0,0,0,0.836,0,0,0,0.887,0,0,0,0.836,0.877,0,0,0,0,0,0,0,0,0,0.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949,0,0,0,0,0.775,0,0,0,0,0,0,0,0,0,0,0,0.857,0.887,0,0.806,0,0,0,0,0.826,0,0,0,0.775,0,0.816,0,0,0,0.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796,0,0,0,0,0,0,0,0,0,0.857,0,0,0,0,0,0.785,0,0,0,0,0,0.765,0,0,0,0,0,0,0,0,0,0,0,0,0.785,0,0,0,0.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
