ASV_ID,edge_type
ASV_00002,pos
ASV_00003,pos
ASV_00004,pos
ASV_00005,pos
ASV_00006,pos
ASV_00010,pos
ASV_00011,pos
ASV_00014,pos
ASV_00015,pos
ASV_00021,pos
ASV_00022,pos
ASV_00023,pos
ASV_00026,pos
ASV_00030,pos
ASV_00032,pos
ASV_00033,pos
ASV_00036,pos
ASV_00056,pos
ASV_00062,pos
ASV_00067,pos
ASV_00002,neg
ASV_00003,neg
ASV_00004,neg
ASV_00005,neg
ASV_00006,neg
ASV_00007,neg
ASV_00008,neg
ASV_00009,neg
ASV_00010,neg
ASV_00011,neg
ASV_00014,neg
ASV_00015,neg
ASV_00018,neg
ASV_00021,neg
ASV_00022,neg
ASV_00023,neg
ASV_00026,neg
ASV_00027,neg
ASV_00030,neg
ASV_00032,neg
ASV_00033,neg
ASV_00036,neg
ASV_00040,neg
ASV_00048,neg
ASV_00049,neg
ASV_00050,neg
ASV_00051,neg
ASV_00056,neg
ASV_00057,neg
ASV_00062,neg
ASV_00067,neg
ASV_00081,neg
ASV_00083,neg
ASV_00087,neg
ASV_00088,neg
ASV_00089,neg
ASV_00093,neg
ASV_00094,neg
ASV_00096,neg
ASV_00105,neg
ASV_00106,neg
ASV_00110,neg
ASV_00113,neg
ASV_00116,neg
ASV_00118,neg
ASV_00119,neg
ASV_00128,neg
ASV_00130,neg
ASV_00164,neg
ASV_00165,neg
ASV_00166,neg
ASV_00172,neg
ASV_00181,neg
ASV_00218,neg
ASV_00219,neg
ASV_00232,neg
ASV_00236,neg
ASV_00255,neg
ASV_00262,neg
ASV_00264,neg
ASV_00267,neg
ASV_00274,neg
ASV_00275,neg
ASV_00280,neg
ASV_00283,neg
ASV_00288,neg
ASV_00299,neg
ASV_00301,neg
ASV_00309,neg
ASV_00320,neg
ASV_00324,neg
ASV_00338,neg
ASV_00339,neg
ASV_00351,neg
ASV_00356,neg
ASV_00379,neg
ASV_00382,neg
ASV_00384,neg
ASV_00387,neg
ASV_00392,neg
ASV_00421,neg
ASV_00426,neg
ASV_00431,neg
ASV_00474,neg
ASV_00477,neg
ASV_00490,neg
ASV_00495,neg
ASV_00497,neg
ASV_00499,neg
ASV_00505,neg
ASV_00513,neg
ASV_00517,neg
ASV_00523,neg
ASV_00524,neg
ASV_00534,neg
ASV_00541,neg
ASV_00543,neg
ASV_00552,neg
ASV_00554,neg
ASV_00575,neg
ASV_00601,neg
ASV_00607,neg
ASV_00610,neg
ASV_00621,neg
ASV_00630,neg
ASV_00633,neg
ASV_00638,neg
ASV_00641,neg
ASV_00644,neg
ASV_00645,neg
ASV_00651,neg
ASV_00654,neg
ASV_00679,neg
ASV_00682,neg
ASV_00683,neg
ASV_00689,neg
ASV_00702,neg
ASV_00705,neg
ASV_00723,neg
ASV_00735,neg
ASV_00746,neg
ASV_00758,neg
ASV_00763,neg
ASV_00770,neg
ASV_00772,neg
ASV_00775,neg
ASV_00786,neg
ASV_00807,neg
ASV_00868,neg
ASV_00874,neg
ASV_00890,neg
ASV_00919,neg
ASV_00962,neg
ASV_00976,neg
ASV_00978,neg
ASV_01032,neg
ASV_01037,neg
ASV_01040,neg
ASV_01049,neg
ASV_01092,neg
ASV_01099,neg
ASV_01111,neg
ASV_01157,neg
ASV_01169,neg
ASV_01220,neg
ASV_01244,neg
ASV_01289,neg
ASV_01319,neg
ASV_01439,neg
ASV_01463,neg
ASV_01483,neg
ASV_01558,neg
ASV_01603,neg
ASV_01730,neg
ASV_01861,neg
ASV_01957,neg
ASV_02007,neg
ASV_02400,neg
