from,to,weight,edge_type,level,level_name
ASV_00001,ASV_00037,0.094,pos,Farm,SE1
ASV_00001,ASV_00097,0.103,pos,Farm,SE1
ASV_00001,ASV_00159,0.131,pos,Farm,SE1
ASV_00001,ASV_00191,0.231,pos,Farm,SE1
ASV_00001,ASV_00235,0.1,pos,Farm,SE1
ASV_00001,ASV_00303,0.103,pos,Farm,SE1
ASV_00001,ASV_00323,0.1,pos,Farm,SE1
ASV_00001,ASV_00384,0.164,pos,Farm,SE1
ASV_00001,ASV_00421,0.079,pos,Farm,SE1
ASV_00001,ASV_00513,0.073,pos,Farm,SE1
ASV_00001,ASV_00594,0.061,pos,Farm,SE1
ASV_00001,ASV_00621,0.197,pos,Farm,SE1
ASV_00001,ASV_00683,0.097,pos,Farm,SE1
ASV_00001,ASV_00768,0.082,pos,Farm,SE1
ASV_00001,ASV_01049,0.067,pos,Farm,SE1
ASV_00001,ASV_01111,0.115,pos,Farm,SE1
ASV_00001,ASV_01223,0.07,pos,Farm,SE1
ASV_00002,ASV_00007,0.784,pos,Farm,SE1
ASV_00002,ASV_00009,0.604,pos,Farm,SE1
ASV_00002,ASV_00012,0.831,pos,Farm,SE1
ASV_00002,ASV_00013,0.604,pos,Farm,SE1
ASV_00002,ASV_00016,0.548,pos,Farm,SE1
ASV_00002,ASV_00020,0.642,pos,Farm,SE1
ASV_00002,ASV_00026,0.642,pos,Farm,SE1
ASV_00002,ASV_00029,0.821,pos,Farm,SE1
ASV_00002,ASV_00033,0.566,pos,Farm,SE1
ASV_00002,ASV_00035,0.604,pos,Farm,SE1
ASV_00002,ASV_00036,0.717,pos,Farm,SE1
ASV_00002,ASV_00042,0.717,pos,Farm,SE1
ASV_00002,ASV_00045,0.566,pos,Farm,SE1
ASV_00002,ASV_00046,0.623,pos,Farm,SE1
ASV_00002,ASV_00048,0.595,pos,Farm,SE1
ASV_00002,ASV_00049,0.415,pos,Farm,SE1
ASV_00002,ASV_00051,0.68,pos,Farm,SE1
ASV_00002,ASV_00053,0.661,pos,Farm,SE1
ASV_00002,ASV_00056,0.784,pos,Farm,SE1
ASV_00002,ASV_00059,0.661,pos,Farm,SE1
ASV_00002,ASV_00061,0.774,pos,Farm,SE1
ASV_00002,ASV_00066,0.821,pos,Farm,SE1
ASV_00002,ASV_00070,0.651,pos,Farm,SE1
ASV_00002,ASV_00076,0.538,pos,Farm,SE1
ASV_00002,ASV_00078,0.67,pos,Farm,SE1
ASV_00002,ASV_00082,0.548,pos,Farm,SE1
ASV_00002,ASV_00083,0.415,pos,Farm,SE1
ASV_00002,ASV_00086,0.68,pos,Farm,SE1
ASV_00002,ASV_00087,0.727,pos,Farm,SE1
ASV_00002,ASV_00097,0.321,pos,Farm,SE1
ASV_00002,ASV_00106,0.604,pos,Farm,SE1
ASV_00002,ASV_00135,0.614,pos,Farm,SE1
ASV_00002,ASV_00138,0.538,pos,Farm,SE1
ASV_00002,ASV_00148,0.623,pos,Farm,SE1
ASV_00002,ASV_00152,0.472,pos,Farm,SE1
ASV_00002,ASV_00156,0.472,pos,Farm,SE1
ASV_00002,ASV_00157,0.717,pos,Farm,SE1
ASV_00002,ASV_00163,0.623,pos,Farm,SE1
ASV_00002,ASV_00165,0.274,pos,Farm,SE1
ASV_00002,ASV_00171,0.491,pos,Farm,SE1
ASV_00002,ASV_00179,0.387,pos,Farm,SE1
ASV_00002,ASV_00181,0.321,pos,Farm,SE1
ASV_00002,ASV_00182,0.463,pos,Farm,SE1
ASV_00002,ASV_00185,0.34,pos,Farm,SE1
ASV_00002,ASV_00191,0.717,pos,Farm,SE1
ASV_00002,ASV_00197,0.717,pos,Farm,SE1
ASV_00002,ASV_00204,0.444,pos,Farm,SE1
ASV_00002,ASV_00218,0.595,pos,Farm,SE1
ASV_00002,ASV_00223,0.472,pos,Farm,SE1
ASV_00002,ASV_00232,0.661,pos,Farm,SE1
ASV_00002,ASV_00240,0.67,pos,Farm,SE1
ASV_00002,ASV_00241,0.415,pos,Farm,SE1
ASV_00002,ASV_00242,0.576,pos,Farm,SE1
ASV_00002,ASV_00249,0.642,pos,Farm,SE1
ASV_00002,ASV_00255,0.349,pos,Farm,SE1
ASV_00002,ASV_00258,0.463,pos,Farm,SE1
ASV_00002,ASV_00269,0.396,pos,Farm,SE1
ASV_00002,ASV_00274,0.5,pos,Farm,SE1
ASV_00002,ASV_00288,0.378,pos,Farm,SE1
ASV_00002,ASV_00290,0.699,pos,Farm,SE1
ASV_00002,ASV_00292,0.614,pos,Farm,SE1
ASV_00002,ASV_00309,0.585,pos,Farm,SE1
ASV_00002,ASV_00335,0.727,pos,Farm,SE1
ASV_00002,ASV_00341,0.396,pos,Farm,SE1
ASV_00002,ASV_00342,0.548,pos,Farm,SE1
ASV_00002,ASV_00348,0.321,pos,Farm,SE1
ASV_00002,ASV_00349,0.34,pos,Farm,SE1
ASV_00002,ASV_00350,0.481,pos,Farm,SE1
ASV_00002,ASV_00356,0.566,pos,Farm,SE1
ASV_00002,ASV_00361,0.444,pos,Farm,SE1
ASV_00002,ASV_00364,0.453,pos,Farm,SE1
ASV_00002,ASV_00367,0.321,pos,Farm,SE1
ASV_00002,ASV_00369,0.463,pos,Farm,SE1
ASV_00002,ASV_00372,0.264,pos,Farm,SE1
ASV_00002,ASV_00379,0.5,pos,Farm,SE1
ASV_00002,ASV_00387,0.67,pos,Farm,SE1
ASV_00002,ASV_00406,0.387,pos,Farm,SE1
ASV_00002,ASV_00426,0.548,pos,Farm,SE1
ASV_00002,ASV_00438,0.425,pos,Farm,SE1
ASV_00002,ASV_00484,0.368,pos,Farm,SE1
ASV_00002,ASV_00492,0.255,pos,Farm,SE1
ASV_00002,ASV_00495,0.585,pos,Farm,SE1
ASV_00002,ASV_00535,0.463,pos,Farm,SE1
ASV_00002,ASV_00543,0.481,pos,Farm,SE1
ASV_00002,ASV_00554,0.415,pos,Farm,SE1
ASV_00002,ASV_00559,0.321,pos,Farm,SE1
ASV_00002,ASV_00574,0.453,pos,Farm,SE1
ASV_00002,ASV_00610,0.425,pos,Farm,SE1
ASV_00002,ASV_00621,0.614,pos,Farm,SE1
ASV_00002,ASV_00643,0.463,pos,Farm,SE1
ASV_00002,ASV_00646,0.255,pos,Farm,SE1
ASV_00002,ASV_00654,0.529,pos,Farm,SE1
ASV_00002,ASV_00659,0.359,pos,Farm,SE1
ASV_00002,ASV_00666,0.5,pos,Farm,SE1
ASV_00002,ASV_00689,0.661,pos,Farm,SE1
ASV_00002,ASV_00704,0.312,pos,Farm,SE1
ASV_00002,ASV_00709,0.274,pos,Farm,SE1
ASV_00002,ASV_00727,0.283,pos,Farm,SE1
ASV_00002,ASV_00743,0.406,pos,Farm,SE1
ASV_00002,ASV_00763,0.378,pos,Farm,SE1
ASV_00002,ASV_00764,0.415,pos,Farm,SE1
ASV_00002,ASV_00775,0.378,pos,Farm,SE1
ASV_00002,ASV_00788,0.312,pos,Farm,SE1
ASV_00002,ASV_00860,0.425,pos,Farm,SE1
ASV_00002,ASV_00907,0.255,pos,Farm,SE1
ASV_00002,ASV_00930,0.378,pos,Farm,SE1
ASV_00002,ASV_00983,0.293,pos,Farm,SE1
ASV_00002,ASV_01040,0.566,pos,Farm,SE1
ASV_00002,ASV_01055,0.264,pos,Farm,SE1
ASV_00002,ASV_01074,0.33,pos,Farm,SE1
ASV_00002,ASV_01107,0.378,pos,Farm,SE1
ASV_00002,ASV_01169,0.406,pos,Farm,SE1
ASV_00002,ASV_01220,0.519,pos,Farm,SE1
ASV_00002,ASV_01446,0.264,pos,Farm,SE1
ASV_00002,ASV_01483,0.453,pos,Farm,SE1
ASV_00002,ASV_01622,0.264,pos,Farm,SE1
ASV_00002,ASV_01861,0.293,pos,Farm,SE1
ASV_00002,ASV_02424,0.274,pos,Farm,SE1
ASV_00003,ASV_00004,0.969,pos,Farm,SE1
ASV_00003,ASV_00006,0.969,pos,Farm,SE1
ASV_00003,ASV_00008,0.959,pos,Farm,SE1
ASV_00003,ASV_00010,0.959,pos,Farm,SE1
ASV_00003,ASV_00011,0.959,pos,Farm,SE1
ASV_00003,ASV_00012,0.898,pos,Farm,SE1
ASV_00003,ASV_00019,0.959,pos,Farm,SE1
ASV_00003,ASV_00022,0.867,pos,Farm,SE1
ASV_00003,ASV_00023,0.969,pos,Farm,SE1
ASV_00003,ASV_00024,0.898,pos,Farm,SE1
ASV_00003,ASV_00028,0.826,pos,Farm,SE1
ASV_00003,ASV_00030,0.877,pos,Farm,SE1
ASV_00003,ASV_00032,0.969,pos,Farm,SE1
ASV_00003,ASV_00036,0.775,pos,Farm,SE1
ASV_00003,ASV_00039,0.765,pos,Farm,SE1
ASV_00003,ASV_00040,0.928,pos,Farm,SE1
ASV_00003,ASV_00042,0.775,pos,Farm,SE1
ASV_00003,ASV_00044,0.908,pos,Farm,SE1
ASV_00003,ASV_00050,0.959,pos,Farm,SE1
ASV_00003,ASV_00054,0.796,pos,Farm,SE1
ASV_00003,ASV_00056,0.847,pos,Farm,SE1
ASV_00003,ASV_00057,0.847,pos,Farm,SE1
ASV_00003,ASV_00061,0.836,pos,Farm,SE1
ASV_00003,ASV_00071,0.836,pos,Farm,SE1
ASV_00003,ASV_00085,0.898,pos,Farm,SE1
ASV_00003,ASV_00087,0.785,pos,Farm,SE1
ASV_00003,ASV_00090,0.857,pos,Farm,SE1
ASV_00003,ASV_00104,0.918,pos,Farm,SE1
ASV_00003,ASV_00125,0.796,pos,Farm,SE1
ASV_00003,ASV_00128,0.796,pos,Farm,SE1
ASV_00003,ASV_00136,0.887,pos,Farm,SE1
ASV_00003,ASV_00142,0.826,pos,Farm,SE1
ASV_00003,ASV_00149,0.949,pos,Farm,SE1
ASV_00003,ASV_00157,0.775,pos,Farm,SE1
ASV_00003,ASV_00164,0.806,pos,Farm,SE1
ASV_00003,ASV_00174,0.857,pos,Farm,SE1
ASV_00003,ASV_00177,0.887,pos,Farm,SE1
ASV_00003,ASV_00180,0.806,pos,Farm,SE1
ASV_00003,ASV_00187,0.826,pos,Farm,SE1
ASV_00003,ASV_00197,0.775,pos,Farm,SE1
ASV_00003,ASV_00200,0.816,pos,Farm,SE1
ASV_00003,ASV_00210,0.867,pos,Farm,SE1
ASV_00003,ASV_00257,0.765,pos,Farm,SE1
ASV_00003,ASV_00281,0.765,pos,Farm,SE1
ASV_00003,ASV_00297,0.796,pos,Farm,SE1
ASV_00003,ASV_00324,0.857,pos,Farm,SE1
ASV_00003,ASV_00335,0.785,pos,Farm,SE1
ASV_00003,ASV_00351,0.765,pos,Farm,SE1
ASV_00003,ASV_00376,0.785,pos,Farm,SE1
ASV_00003,ASV_00385,0.918,pos,Farm,SE1
ASV_00003,ASV_00601,0.785,pos,Farm,SE1
ASV_00004,ASV_00006,0.979,pos,Farm,SE1
ASV_00004,ASV_00010,0.969,pos,Farm,SE1
ASV_00004,ASV_00011,0.969,pos,Farm,SE1
ASV_00004,ASV_00019,0.969,pos,Farm,SE1
ASV_00004,ASV_00023,0.979,pos,Farm,SE1
ASV_00004,ASV_00032,0.979,pos,Farm,SE1
ASV_00004,ASV_00052,0.948,pos,Farm,SE1
ASV_00004,ASV_00067,0.948,pos,Farm,SE1
ASV_00004,ASV_00149,0.959,pos,Farm,SE1
ASV_00006,ASV_00010,0.969,pos,Farm,SE1
ASV_00006,ASV_00011,0.969,pos,Farm,SE1
ASV_00006,ASV_00019,0.969,pos,Farm,SE1
ASV_00006,ASV_00023,0.979,pos,Farm,SE1
ASV_00006,ASV_00032,0.979,pos,Farm,SE1
ASV_00006,ASV_00052,0.948,pos,Farm,SE1
ASV_00006,ASV_00067,0.948,pos,Farm,SE1
ASV_00006,ASV_00149,0.959,pos,Farm,SE1
ASV_00007,ASV_00009,0.576,pos,Farm,SE1
ASV_00007,ASV_00010,0.847,pos,Farm,SE1
ASV_00007,ASV_00012,0.793,pos,Farm,SE1
ASV_00007,ASV_00013,0.576,pos,Farm,SE1
ASV_00007,ASV_00016,0.522,pos,Farm,SE1
ASV_00007,ASV_00019,0.847,pos,Farm,SE1
ASV_00007,ASV_00020,0.612,pos,Farm,SE1
ASV_00007,ASV_00022,0.766,pos,Farm,SE1
ASV_00007,ASV_00024,0.793,pos,Farm,SE1
ASV_00007,ASV_00026,0.612,pos,Farm,SE1
ASV_00007,ASV_00028,0.729,pos,Farm,SE1
ASV_00007,ASV_00029,0.784,pos,Farm,SE1
ASV_00007,ASV_00030,0.775,pos,Farm,SE1
ASV_00007,ASV_00033,0.54,pos,Farm,SE1
ASV_00007,ASV_00035,0.576,pos,Farm,SE1
ASV_00007,ASV_00036,0.684,pos,Farm,SE1
ASV_00007,ASV_00042,0.684,pos,Farm,SE1
ASV_00007,ASV_00044,0.802,pos,Farm,SE1
ASV_00007,ASV_00045,0.54,pos,Farm,SE1
ASV_00007,ASV_00046,0.594,pos,Farm,SE1
ASV_00007,ASV_00048,0.567,pos,Farm,SE1
ASV_00007,ASV_00049,0.396,pos,Farm,SE1
ASV_00007,ASV_00051,0.648,pos,Farm,SE1
ASV_00007,ASV_00053,0.63,pos,Farm,SE1
ASV_00007,ASV_00054,0.702,pos,Farm,SE1
ASV_00007,ASV_00055,0.811,pos,Farm,SE1
ASV_00007,ASV_00056,0.748,pos,Farm,SE1
ASV_00007,ASV_00057,0.748,pos,Farm,SE1
ASV_00007,ASV_00058,0.621,pos,Farm,SE1
ASV_00007,ASV_00059,0.63,pos,Farm,SE1
ASV_00007,ASV_00066,0.784,pos,Farm,SE1
ASV_00007,ASV_00067,0.829,pos,Farm,SE1
ASV_00007,ASV_00068,0.207,pos,Farm,SE1
ASV_00007,ASV_00070,0.621,pos,Farm,SE1
ASV_00007,ASV_00071,0.738,pos,Farm,SE1
ASV_00007,ASV_00076,0.513,pos,Farm,SE1
ASV_00007,ASV_00078,0.639,pos,Farm,SE1
ASV_00007,ASV_00081,0.766,pos,Farm,SE1
ASV_00007,ASV_00082,0.522,pos,Farm,SE1
ASV_00007,ASV_00083,0.396,pos,Farm,SE1
ASV_00007,ASV_00085,0.793,pos,Farm,SE1
ASV_00007,ASV_00086,0.648,pos,Farm,SE1
ASV_00007,ASV_00087,0.693,pos,Farm,SE1
ASV_00007,ASV_00088,0.279,pos,Farm,SE1
ASV_00007,ASV_00089,0.18,pos,Farm,SE1
ASV_00007,ASV_00092,0.666,pos,Farm,SE1
ASV_00007,ASV_00096,0.612,pos,Farm,SE1
ASV_00007,ASV_00101,0.603,pos,Farm,SE1
ASV_00007,ASV_00104,0.811,pos,Farm,SE1
ASV_00007,ASV_00105,0.82,pos,Farm,SE1
ASV_00007,ASV_00106,0.576,pos,Farm,SE1
ASV_00007,ASV_00107,0.549,pos,Farm,SE1
ASV_00007,ASV_00109,0.261,pos,Farm,SE1
ASV_00007,ASV_00110,0.513,pos,Farm,SE1
ASV_00007,ASV_00115,0.18,pos,Farm,SE1
ASV_00007,ASV_00116,0.594,pos,Farm,SE1
ASV_00007,ASV_00120,0.288,pos,Farm,SE1
ASV_00007,ASV_00123,0.396,pos,Farm,SE1
ASV_00007,ASV_00128,0.702,pos,Farm,SE1
ASV_00007,ASV_00131,0.639,pos,Farm,SE1
ASV_00007,ASV_00133,0.252,pos,Farm,SE1
ASV_00007,ASV_00135,0.585,pos,Farm,SE1
ASV_00007,ASV_00136,0.784,pos,Farm,SE1
ASV_00007,ASV_00138,0.513,pos,Farm,SE1
ASV_00007,ASV_00140,0.279,pos,Farm,SE1
ASV_00007,ASV_00142,0.729,pos,Farm,SE1
ASV_00007,ASV_00144,0.342,pos,Farm,SE1
ASV_00007,ASV_00146,0.387,pos,Farm,SE1
ASV_00007,ASV_00148,0.594,pos,Farm,SE1
ASV_00007,ASV_00150,0.18,pos,Farm,SE1
ASV_00007,ASV_00152,0.45,pos,Farm,SE1
ASV_00007,ASV_00156,0.45,pos,Farm,SE1
ASV_00007,ASV_00157,0.684,pos,Farm,SE1
ASV_00007,ASV_00159,0.387,pos,Farm,SE1
ASV_00007,ASV_00160,0.594,pos,Farm,SE1
ASV_00007,ASV_00163,0.594,pos,Farm,SE1
ASV_00007,ASV_00164,0.711,pos,Farm,SE1
ASV_00007,ASV_00165,0.261,pos,Farm,SE1
ASV_00007,ASV_00166,0.333,pos,Farm,SE1
ASV_00007,ASV_00171,0.468,pos,Farm,SE1
ASV_00007,ASV_00179,0.369,pos,Farm,SE1
ASV_00007,ASV_00181,0.306,pos,Farm,SE1
ASV_00007,ASV_00182,0.441,pos,Farm,SE1
ASV_00007,ASV_00191,0.684,pos,Farm,SE1
ASV_00007,ASV_00196,0.342,pos,Farm,SE1
ASV_00007,ASV_00197,0.684,pos,Farm,SE1
ASV_00007,ASV_00198,0.315,pos,Farm,SE1
ASV_00007,ASV_00201,0.585,pos,Farm,SE1
ASV_00007,ASV_00204,0.423,pos,Farm,SE1
ASV_00007,ASV_00205,0.324,pos,Farm,SE1
ASV_00007,ASV_00218,0.567,pos,Farm,SE1
ASV_00007,ASV_00223,0.45,pos,Farm,SE1
ASV_00007,ASV_00231,0.441,pos,Farm,SE1
ASV_00007,ASV_00232,0.63,pos,Farm,SE1
ASV_00007,ASV_00235,0.297,pos,Farm,SE1
ASV_00007,ASV_00240,0.639,pos,Farm,SE1
ASV_00007,ASV_00241,0.396,pos,Farm,SE1
ASV_00007,ASV_00242,0.549,pos,Farm,SE1
ASV_00007,ASV_00249,0.612,pos,Farm,SE1
ASV_00007,ASV_00250,0.72,pos,Farm,SE1
ASV_00007,ASV_00252,0.45,pos,Farm,SE1
ASV_00007,ASV_00255,0.333,pos,Farm,SE1
ASV_00007,ASV_00258,0.441,pos,Farm,SE1
ASV_00007,ASV_00259,0.18,pos,Farm,SE1
ASV_00007,ASV_00262,0.279,pos,Farm,SE1
ASV_00007,ASV_00264,0.225,pos,Farm,SE1
ASV_00007,ASV_00269,0.378,pos,Farm,SE1
ASV_00007,ASV_00270,0.207,pos,Farm,SE1
ASV_00007,ASV_00274,0.477,pos,Farm,SE1
ASV_00007,ASV_00276,0.432,pos,Farm,SE1
ASV_00007,ASV_00281,0.675,pos,Farm,SE1
ASV_00007,ASV_00288,0.36,pos,Farm,SE1
ASV_00007,ASV_00290,0.666,pos,Farm,SE1
ASV_00007,ASV_00292,0.585,pos,Farm,SE1
ASV_00007,ASV_00296,0.504,pos,Farm,SE1
ASV_00007,ASV_00298,0.549,pos,Farm,SE1
ASV_00007,ASV_00299,0.189,pos,Farm,SE1
ASV_00007,ASV_00303,0.306,pos,Farm,SE1
ASV_00007,ASV_00309,0.558,pos,Farm,SE1
ASV_00007,ASV_00319,0.216,pos,Farm,SE1
ASV_00007,ASV_00321,0.18,pos,Farm,SE1
ASV_00007,ASV_00323,0.297,pos,Farm,SE1
ASV_00007,ASV_00332,0.558,pos,Farm,SE1
ASV_00007,ASV_00335,0.693,pos,Farm,SE1
ASV_00007,ASV_00339,0.189,pos,Farm,SE1
ASV_00007,ASV_00341,0.378,pos,Farm,SE1
ASV_00007,ASV_00342,0.522,pos,Farm,SE1
ASV_00007,ASV_00348,0.306,pos,Farm,SE1
ASV_00007,ASV_00349,0.324,pos,Farm,SE1
ASV_00007,ASV_00350,0.459,pos,Farm,SE1
ASV_00007,ASV_00351,0.675,pos,Farm,SE1
ASV_00007,ASV_00356,0.54,pos,Farm,SE1
ASV_00007,ASV_00361,0.423,pos,Farm,SE1
ASV_00007,ASV_00364,0.432,pos,Farm,SE1
ASV_00007,ASV_00365,0.495,pos,Farm,SE1
ASV_00007,ASV_00367,0.306,pos,Farm,SE1
ASV_00007,ASV_00369,0.441,pos,Farm,SE1
ASV_00007,ASV_00371,0.27,pos,Farm,SE1
ASV_00007,ASV_00372,0.252,pos,Farm,SE1
ASV_00007,ASV_00373,0.423,pos,Farm,SE1
ASV_00007,ASV_00377,0.243,pos,Farm,SE1
ASV_00007,ASV_00378,0.18,pos,Farm,SE1
ASV_00007,ASV_00379,0.477,pos,Farm,SE1
ASV_00007,ASV_00382,0.567,pos,Farm,SE1
ASV_00007,ASV_00384,0.486,pos,Farm,SE1
ASV_00007,ASV_00387,0.639,pos,Farm,SE1
ASV_00007,ASV_00388,0.207,pos,Farm,SE1
ASV_00007,ASV_00398,0.252,pos,Farm,SE1
ASV_00007,ASV_00406,0.369,pos,Farm,SE1
ASV_00007,ASV_00417,0.342,pos,Farm,SE1
ASV_00007,ASV_00421,0.234,pos,Farm,SE1
ASV_00007,ASV_00424,0.387,pos,Farm,SE1
ASV_00007,ASV_00426,0.522,pos,Farm,SE1
ASV_00007,ASV_00439,0.234,pos,Farm,SE1
ASV_00007,ASV_00442,0.36,pos,Farm,SE1
ASV_00007,ASV_00446,0.342,pos,Farm,SE1
ASV_00007,ASV_00452,0.54,pos,Farm,SE1
ASV_00007,ASV_00456,0.27,pos,Farm,SE1
ASV_00007,ASV_00484,0.351,pos,Farm,SE1
ASV_00007,ASV_00486,0.297,pos,Farm,SE1
ASV_00007,ASV_00487,0.486,pos,Farm,SE1
ASV_00007,ASV_00490,0.432,pos,Farm,SE1
ASV_00007,ASV_00493,0.612,pos,Farm,SE1
ASV_00007,ASV_00495,0.558,pos,Farm,SE1
ASV_00007,ASV_00497,0.495,pos,Farm,SE1
ASV_00007,ASV_00509,0.324,pos,Farm,SE1
ASV_00007,ASV_00515,0.27,pos,Farm,SE1
ASV_00007,ASV_00524,0.288,pos,Farm,SE1
ASV_00007,ASV_00527,0.18,pos,Farm,SE1
ASV_00007,ASV_00535,0.441,pos,Farm,SE1
ASV_00007,ASV_00543,0.459,pos,Farm,SE1
ASV_00007,ASV_00554,0.396,pos,Farm,SE1
ASV_00007,ASV_00559,0.306,pos,Farm,SE1
ASV_00007,ASV_00573,0.189,pos,Farm,SE1
ASV_00007,ASV_00574,0.432,pos,Farm,SE1
ASV_00007,ASV_00587,0.666,pos,Farm,SE1
ASV_00007,ASV_00594,0.18,pos,Farm,SE1
ASV_00007,ASV_00601,0.693,pos,Farm,SE1
ASV_00007,ASV_00610,0.405,pos,Farm,SE1
ASV_00007,ASV_00621,0.585,pos,Farm,SE1
ASV_00007,ASV_00638,0.414,pos,Farm,SE1
ASV_00007,ASV_00641,0.306,pos,Farm,SE1
ASV_00007,ASV_00643,0.441,pos,Farm,SE1
ASV_00007,ASV_00645,0.324,pos,Farm,SE1
ASV_00007,ASV_00649,0.27,pos,Farm,SE1
ASV_00007,ASV_00651,0.225,pos,Farm,SE1
ASV_00007,ASV_00654,0.504,pos,Farm,SE1
ASV_00007,ASV_00663,0.189,pos,Farm,SE1
ASV_00007,ASV_00666,0.477,pos,Farm,SE1
ASV_00007,ASV_00671,0.486,pos,Farm,SE1
ASV_00007,ASV_00679,0.198,pos,Farm,SE1
