ASV_ID,edge_type
ASV_00005,pos
ASV_00014,pos
ASV_00015,pos
ASV_00018,pos
ASV_00034,pos
ASV_00003,neg
ASV_00004,neg
ASV_00005,neg
ASV_00006,neg
ASV_00008,neg
ASV_00010,neg
ASV_00011,neg
ASV_00014,neg
ASV_00015,neg
ASV_00018,neg
ASV_00019,neg
ASV_00021,neg
ASV_00023,neg
ASV_00024,neg
ASV_00032,neg
ASV_00034,neg
ASV_00050,neg
ASV_00052,neg
ASV_00069,neg
ASV_00074,neg
ASV_00088,neg
ASV_00092,neg
ASV_00095,neg
ASV_00112,neg
ASV_00125,neg
ASV_00126,neg
ASV_00140,neg
ASV_00141,neg
ASV_00161,neg
ASV_00165,neg
ASV_00177,neg
ASV_00185,neg
ASV_00193,neg
ASV_00210,neg
ASV_00224,neg
ASV_00301,neg
ASV_00367,neg
ASV_00385,neg
ASV_00410,neg
ASV_00416,neg
ASV_00449,neg
ASV_00464,neg
ASV_00474,neg
ASV_00475,neg
ASV_00502,neg
ASV_00505,neg
ASV_00508,neg
ASV_00593,neg
ASV_00627,neg
ASV_00641,neg
ASV_00644,neg
ASV_00656,neg
ASV_00685,neg
ASV_00689,neg
ASV_00721,neg
ASV_00736,neg
ASV_00737,neg
ASV_00751,neg
ASV_00794,neg
ASV_00801,neg
ASV_00843,neg
ASV_00865,neg
ASV_00910,neg
ASV_00920,neg
ASV_00983,neg
ASV_01094,neg
ASV_01159,neg
ASV_01169,neg
ASV_01178,neg
ASV_01207,neg
ASV_01289,neg
ASV_01549,neg
ASV_02120,neg
ASV_02358,neg
