node_id,module,layer_id,flow,node_name,layer_name
1,1,1,2.33662e-4,ASV_00001,IT1
1,1,2,3.23794e-4,ASV_00001,IT2
1,1,3,1.50176e-5,ASV_00001,IT3
1,1,5,7.10875e-4,ASV_00001,UK1
1,1,6,1.20515e-4,ASV_00001,UK2
2,1,1,3.0793e-4,ASV_00002,IT1
2,1,2,2.69385e-4,ASV_00002,IT2
2,1,3,2.06282e-5,ASV_00002,IT3
2,1,4,5.6083e-4,ASV_00002,FI1
2,1,5,6.6334e-4,ASV_00002,UK1
2,1,6,2.22039e-4,ASV_00002,UK2
2,1,7,3.74447e-4,ASV_00002,SE1
3,1,1,3.24473e-4,ASV_00003,IT1
3,1,2,2.32258e-4,ASV_00003,IT2
3,1,3,2.65005e-5,ASV_00003,IT3
3,1,4,3.551e-4,ASV_00003,FI1
3,1,5,7.58265e-4,ASV_00003,UK1
3,1,6,1.95669e-4,ASV_00003,UK2
3,1,7,2.29501e-4,ASV_00003,SE1
4,1,1,4.38743e-4,ASV_00004,IT1
4,1,2,4.67083e-4,ASV_00004,IT2
4,1,3,2.9285e-5,ASV_00004,IT3
4,1,4,3.47872e-4,ASV_00004,FI1
4,1,5,6.37224e-4,ASV_00004,UK1
4,1,6,1.09763e-4,ASV_00004,UK2
4,1,7,3.95416e-4,ASV_00004,SE1
5,1,1,1.73703e-4,ASV_00005,IT1
5,1,2,4.59227e-4,ASV_00005,IT2
5,1,3,2.55623e-5,ASV_00005,IT3
5,1,4,3.66768e-4,ASV_00005,FI1
5,1,5,7.28738e-4,ASV_00005,UK1
5,1,6,1.4681e-4,ASV_00005,UK2
5,1,7,2.14214e-4,ASV_00005,SE1
6,1,1,2.51403e-4,ASV_00006,IT1
6,1,2,2.94976e-4,ASV_00006,IT2
6,1,3,5.02257e-5,ASV_00006,IT3
6,1,4,4.21253e-4,ASV_00006,FI1
6,1,5,7.91472e-4,ASV_00006,UK1
6,1,6,1.49453e-4,ASV_00006,UK2
6,1,7,2.94771e-4,ASV_00006,SE1
7,1,1,2.53859e-4,ASV_00007,IT1
