node_id,level1,leaf_id,layer_id,flow,node_name,layer_name
1,1,2320,1,1.64221e-4,ASV_00001,IT1
1,1,1167,2,3.29086e-4,ASV_00001,IT2
1,1,2956,3,1.93578e-5,ASV_00001,IT3
1,1,122,5,8.42249e-4,ASV_00001,UK1
1,1,2074,6,1.94899e-4,ASV_00001,UK2
2,1,977,1,3.74092e-4,ASV_00002,IT1
2,1,1328,2,3.01075e-4,ASV_00002,IT2
2,1,2865,3,4.03251e-5,ASV_00002,IT3
2,1,1442,4,2.84975e-4,ASV_00002,FI1
2,1,141,5,8.25029e-4,ASV_00002,UK1
2,1,1870,6,2.21873e-4,ASV_00002,UK2
2,1,2263,7,1.71415e-4,ASV_00002,SE1
3,1,2311,1,1.65442e-4,ASV_00003,IT1
3,1,1345,2,2.98926e-4,ASV_00003,IT2
3,1,2871,3,3.89015e-5,ASV_00003,IT3
3,1,2584,4,1.20246e-4,ASV_00003,FI1
3,1,465,5,5.70138e-4,ASV_00003,UK1
3,1,2676,6,1.02917e-4,ASV_00003,UK2
3,1,1443,7,2.84784e-4,ASV_00003,SE1
4,1,1325,1,3.01815e-4,ASV_00004,IT1
4,1,795,2,4.28742e-4,ASV_00004,IT2
4,1,2888,3,3.48162e-5,ASV_00004,IT3
4,1,690,4,4.6258e-4,ASV_00004,FI1
4,1,353,5,6.50732e-4,ASV_00004,UK1
4,1,2439,6,1.47322e-4,ASV_00004,UK2
4,1,2488,7,1.39894e-4,ASV_00004,SE1
5,1,2140,1,1.86511e-4,ASV_00005,IT1
5,1,839,2,4.14861e-4,ASV_00005,IT2
5,1,2969,3,1.7805e-5,ASV_00005,IT3
5,1,1006,4,3.67753e-4,ASV_00005,FI1
5,1,137,5,8.28258e-4,ASV_00005,UK1
5,1,1232,6,3.17227e-4,ASV_00005,UK2
5,1,2619,7,1.14418e-4,ASV_00005,SE1
6,1,1128,1,3.37802e-4,ASV_00006,IT1
6,1,528,2,5.36951e-4,ASV_00006,IT2
6,1,2856,3,4.26859e-5,ASV_00006,IT3
6,1,2288,4,1.68919e-4,ASV_00006,FI1
6,1,200,5,7.80682e-4,ASV_00006,UK1
6,1,1725,6,2.42568e-4,ASV_00006,UK2
6,1,1723,7,2.43048e-4,ASV_00006,SE1
7,1,1762,1,2.36533e-4,ASV_00007,IT1
7,1,1537,2,2.69607e-4,ASV_00007,IT2
7,1,2827,3,4.99888e-5,ASV_00007,IT3
7,1,1047,4,3.56624e-4,ASV_00007,FI1
7,1,379,5,6.33119e-4,ASV_00007,UK1
7,1,1858,6,2.24396e-4,ASV_00007,UK2
7,1,790,7,4.30639e-4,ASV_00007,SE1
8,1,1389,1,2.91156e-4,ASV_00008,IT1
8,1,1431,2,2.86271e-4,ASV_00008,IT2
8,1,2863,3,4.08907e-5,ASV_00008,IT3
8,1,1229,4,3.1785e-4,ASV_00008,FI1
8,1,201,5,7.79885e-4,ASV_00008,UK1
8,1,2077,6,1.94389e-4,ASV_00008,UK2
8,1,784,7,4.32644e-4,ASV_00008,SE1
9,1,1413,1,2.88871e-4,ASV_00009,IT1
9,1,838,2,4.1553e-4,ASV_00009,IT2
9,1,2785,3,6.56585e-5,ASV_00009,IT3
9,1,1028,4,3.62111e-4,ASV_00009,FI1
9,1,239,5,7.51954e-4,ASV_00009,UK1
9,1,1829,6,2.27361e-4,ASV_00009,UK2
9,1,1397,7,2.90017e-4,ASV_00009,SE1
10,1,2064,1,1.9535e-4,ASV_00010,IT1
10,1,2343,2,1.60128e-4,ASV_00010,IT2
10,1,2839,3,4.63996e-5,ASV_00010,IT3
10,1,1704,4,2.45733e-4,ASV_00010,FI1
10,1,287,5,7.06113e-4,ASV_00010,UK1
10,1,2680,6,0.00010150899999999999,ASV_00010,UK2
10,1,943,7,3.84816e-4,ASV_00010,SE1
11,1,1323,1,3.0269e-4,ASV_00011,IT1
11,1,908,2,3.93928e-4,ASV_00011,IT2
11,1,2815,3,5.32893e-5,ASV_00011,IT3
