node_id,level1,leaf_id,layer_id,flow,node_name,layer_name
1,1,1905,1,2.20458e-4,ASV_00001,IT1
1,1,909,2,3.94573e-4,ASV_00001,IT2
1,1,2866,3,4.24879e-5,ASV_00001,IT3
1,1,899,5,3.96021e-4,ASV_00001,UK1
1,1,1680,6,2.5081e-4,ASV_00001,UK2
2,1,1230,1,3.25945e-4,ASV_00002,IT1
2,1,435,2,5.9187e-4,ASV_00002,IT2
2,1,2923,3,2.97354e-5,ASV_00002,IT3
2,1,796,4,4.21882e-4,ASV_00002,FI1
2,1,29,5,9.57567e-4,ASV_00002,UK1
2,1,2385,6,1.5302e-4,ASV_00002,UK2
2,1,1281,7,3.15015e-4,ASV_00002,SE1
3,1,1164,1,3.38524e-4,ASV_00003,IT1
3,1,1519,2,2.71988e-4,ASV_00003,IT2
3,1,2835,3,4.8129e-5,ASV_00003,IT3
3,1,2046,4,2.0039e-4,ASV_00003,FI1
3,1,51,5,9.32917e-4,ASV_00003,UK1
3,1,2069,6,1.97294e-4,ASV_00003,UK2
3,1,744,7,4.37959e-4,ASV_00003,SE1
4,1,1383,1,2.94983e-4,ASV_00004,IT1
4,1,708,2,4.51106e-4,ASV_00004,IT2
4,1,2794,3,6.18753e-5,ASV_00004,IT3
4,1,1106,4,3.50097e-4,ASV_00004,FI1
4,1,266,5,7.19556e-4,ASV_00004,UK1
4,1,2346,6,1.58076e-4,ASV_00004,UK2
4,1,1611,7,2.59679e-4,ASV_00004,SE1
5,1,2605,1,1.19142e-4,ASV_00005,IT1
5,1,510,2,5.44091e-4,ASV_00005,IT2
5,1,2814,3,5.3608e-5,ASV_00005,IT3
5,1,1496,4,2.75209e-4,ASV_00005,FI1
5,1,74,5,8.93128e-4,ASV_00005,UK1
5,1,1143,6,3.41746e-4,ASV_00005,UK2
5,1,1667,7,2.52992e-4,ASV_00005,SE1
6,1,1537,1,2.69298e-4,ASV_00006,IT1
6,1,1863,2,2.25918e-4,ASV_00006,IT2
6,1,2834,3,4.81899e-5,ASV_00006,IT3
6,1,610,4,4.88514e-4,ASV_00006,FI1
6,1,406,5,6.13025e-4,ASV_00006,UK1
6,1,2660,6,1.08989e-4,ASV_00006,UK2
6,1,2450,7,1.45519e-4,ASV_00006,SE1
7,1,2518,1,1.35318e-4,ASV_00007,IT1
7,1,918,2,3.92867e-4,ASV_00007,IT2
7,1,2973,3,1.88025e-5,ASV_00007,IT3
7,1,1823,4,2.32275e-4,ASV_00007,FI1
7,1,251,5,7.26104e-4,ASV_00007,UK1
7,1,1780,6,2.37617e-4,ASV_00007,UK2
7,1,793,7,4.22414e-4,ASV_00007,SE1
8,1,1836,1,2.29738e-4,ASV_00008,IT1
8,1,2092,2,1.94685e-4,ASV_00008,IT2
8,1,2819,3,5.22986e-5,ASV_00008,IT3
8,1,1188,4,3.33754e-4,ASV_00008,FI1
8,1,92,5,8.73575e-4,ASV_00008,UK1
8,1,2664,6,1.08262e-4,ASV_00008,UK2
8,1,1025,7,3.67133e-4,ASV_00008,SE1
9,1,1303,1,3.10487e-4,ASV_00009,IT1
9,1,2756,2,8.29007e-5,ASV_00009,IT2
9,1,2804,3,5.82596e-5,ASV_00009,IT3
9,1,780,4,4.25945e-4,ASV_00009,FI1
9,1,203,5,7.62213e-4,ASV_00009,UK1
9,1,1547,6,2.68607e-4,ASV_00009,UK2
9,1,1829,7,2.30863e-4,ASV_00009,SE1
10,1,2270,1,1.69675e-4,ASV_00010,IT1
10,1,819,2,4.16406e-4,ASV_00010,IT2
10,1,2947,3,2.49222e-5,ASV_00010,IT3
10,1,1277,4,3.15923e-4,ASV_00010,FI1
10,1,230,5,7.46477e-4,ASV_00010,UK1
10,1,2542,6,1.29104e-4,ASV_00010,UK2
10,1,1047,7,3.63429e-4,ASV_00010,SE1
