node_id,module,layer_id,flow,node_name,layer_name
1,1,1,2.44526e-4,ASV_00001,IT1
1,1,2,4.33933e-4,ASV_00001,IT2
1,1,3,3.25313e-5,ASV_00001,IT3
1,1,5,4.71139e-4,ASV_00001,UK1
1,1,6,1.27705e-4,ASV_00001,UK2
2,1,1,3.67629e-4,ASV_00002,IT1
2,1,2,2.1225e-4,ASV_00002,IT2
2,1,3,3.35366e-5,ASV_00002,IT3
2,1,4,3.46225e-4,ASV_00002,FI1
2,1,5,4.7404e-4,ASV_00002,UK1
2,1,6,1.45875e-4,ASV_00002,UK2
2,1,7,6.79508e-5,ASV_00002,SE1
3,1,1,4.02051e-4,ASV_00003,IT1
3,1,2,2.71916e-4,ASV_00003,IT2
3,1,3,2.5117e-5,ASV_00003,IT3
3,1,4,2.08716e-4,ASV_00003,FI1
3,1,5,6.60752e-4,ASV_00003,UK1
3,1,6,1.58015e-4,ASV_00003,UK2
3,1,7,2.97409e-4,ASV_00003,SE1
4,1,1,3.28456e-4,ASV_00004,IT1
4,1,2,2.75211e-4,ASV_00004,IT2
4,1,3,9.34608e-6,ASV_00004,IT3
4,1,4,4.69425e-4,ASV_00004,FI1
4,1,5,6.60278e-4,ASV_00004,UK1
4,1,6,1.18745e-4,ASV_00004,UK2
4,1,7,2.656e-4,ASV_00004,SE1
5,1,1,1.18968e-4,ASV_00005,IT1
5,1,2,4.83758e-4,ASV_00005,IT2
5,1,3,4.42471e-5,ASV_00005,IT3
5,1,4,2.17985e-4,ASV_00005,FI1
5,1,5,8.01292e-4,ASV_00005,UK1
5,1,6,3.05766e-4,ASV_00005,UK2
5,1,7,1.05208e-4,ASV_00005,SE1
6,1,1,3.34643e-4,ASV_00006,IT1
6,1,2,6.96031e-4,ASV_00006,IT2
6,1,3,1.94801e-5,ASV_00006,IT3
6,1,4,3.52458e-4,ASV_00006,FI1
6,1,5,5.48469e-4,ASV_00006,UK1
6,1,6,1.26704e-4,ASV_00006,UK2
6,1,7,2.26698e-4,ASV_00006,SE1
7,1,1,1.32802e-4,ASV_00007,IT1
7,1,2,2.0407e-4,ASV_00007,IT2
7,1,3,7.16405e-5,ASV_00007,IT3
7,1,4,2.6679e-4,ASV_00007,FI1
7,1,5,4.77802e-4,ASV_00007,UK1
7,1,6,1.11598e-4,ASV_00007,UK2
7,1,7,2.74643e-4,ASV_00007,SE1
8,1,1,2.83005e-4,ASV_00008,IT1
8,1,2,2.57744e-4,ASV_00008,IT2
8,1,3,2.30034e-5,ASV_00008,IT3
8,1,4,2.88728e-4,ASV_00008,FI1
8,1,5,0.00112875,ASV_00008,UK1
8,1,6,1.34838e-4,ASV_00008,UK2
8,1,7,2.74342e-4,ASV_00008,SE1
9,1,1,1.61243e-4,ASV_00009,IT1
9,1,2,3.91978e-4,ASV_00009,IT2
9,1,3,3.46316e-5,ASV_00009,IT3
9,1,4,0.00044629100000000003,ASV_00009,FI1
9,1,5,0.00098670199999999989,ASV_00009,UK1
9,1,6,1.01135e-4,ASV_00009,UK2
9,1,7,4.37816e-4,ASV_00009,SE1
10,1,1,2.34008e-4,ASV_00010,IT1
10,1,2,2.66441e-4,ASV_00010,IT2
10,1,3,3.2061e-5,ASV_00010,IT3
10,1,4,2.39828e-4,ASV_00010,FI1
10,1,5,5.82348e-4,ASV_00010,UK1
10,1,6,1.86122e-4,ASV_00010,UK2
10,1,7,2.18878e-4,ASV_00010,SE1
11,1,1,2.88339e-4,ASV_00011,IT1
11,1,2,2.6942e-4,ASV_00011,IT2
11,1,3,3.0309e-5,ASV_00011,IT3
11,1,4,3.1488e-4,ASV_00011,FI1
11,1,5,5.8001e-4,ASV_00011,UK1
11,1,6,1.26113e-4,ASV_00011,UK2
11,1,7,3.24457e-4,ASV_00011,SE1
12,1,1,2.22597e-4,ASV_00012,IT1
12,1,2,3.96385e-4,ASV_00012,IT2
12,1,4,2.05756e-4,ASV_00012,FI1
12,1,5,7.41432e-4,ASV_00012,UK1
12,1,6,1.23241e-4,ASV_00012,UK2
12,1,7,1.95988e-4,ASV_00012,SE1
13,1,1,3.02825e-4,ASV_00013,IT1
13,1,2,2.8005e-4,ASV_00013,IT2
13,1,3,4.72458e-5,ASV_00013,IT3
13,1,4,3.83547e-4,ASV_00013,FI1
13,1,5,6.76723e-4,ASV_00013,UK1
13,1,6,1.36758e-4,ASV_00013,UK2
13,1,7,4.75119e-4,ASV_00013,SE1
14,1,1,1.71497e-4,ASV_00014,IT1
14,1,2,4.00808e-4,ASV_00014,IT2
14,1,3,5.19368e-5,ASV_00014,IT3
14,1,4,5.17555e-4,ASV_00014,FI1
14,1,5,9.17675e-4,ASV_00014,UK1
14,1,6,1.13808e-4,ASV_00014,UK2
14,1,7,3.29208e-4,ASV_00014,SE1
15,1,1,2.10996e-4,ASV_00015,IT1
15,1,2,3.41036e-4,ASV_00015,IT2
15,1,3,4.6010799999999997e-05,ASV_00015,IT3
15,1,4,2.17428e-4,ASV_00015,FI1
15,1,5,7.98098e-4,ASV_00015,UK1
15,1,6,2.06079e-4,ASV_00015,UK2
15,1,7,3.37627e-4,ASV_00015,SE1
16,1,2,4.96511e-4,ASV_00016,IT2
16,1,3,3.65642e-5,ASV_00016,IT3
16,1,4,2.11234e-4,ASV_00016,FI1
16,1,5,7.35686e-4,ASV_00016,UK1
16,1,6,9.39609e-5,ASV_00016,UK2
16,1,7,3.93418e-4,ASV_00016,SE1
17,1,1,2.0066e-4,ASV_00017,IT1
17,1,2,3.58473e-4,ASV_00017,IT2
17,1,3,2.26287e-5,ASV_00017,IT3
17,1,5,6.26594e-4,ASV_00017,UK1
17,1,6,2.42409e-4,ASV_00017,UK2
18,1,1,1.77855e-4,ASV_00018,IT1
18,1,2,2.74173e-4,ASV_00018,IT2
18,1,3,4.96021e-5,ASV_00018,IT3
18,1,4,3.89515e-4,ASV_00018,FI1
18,1,5,8.10771e-4,ASV_00018,UK1
18,1,6,1.39687e-4,ASV_00018,UK2
18,1,7,2.01711e-4,ASV_00018,SE1
19,1,1,2.06715e-4,ASV_00019,IT1
19,1,2,2.528e-4,ASV_00019,IT2
19,1,3,2.99808e-5,ASV_00019,IT3
19,1,4,3.09852e-4,ASV_00019,FI1
19,1,5,8.95333e-4,ASV_00019,UK1
19,1,6,1.59671e-4,ASV_00019,UK2
19,1,7,3.02234e-4,ASV_00019,SE1
20,1,1,3.92818e-4,ASV_00020,IT1
20,1,2,2.3281e-4,ASV_00020,IT2
20,1,3,6.35045e-5,ASV_00020,IT3
20,1,4,3.09293e-4,ASV_00020,FI1
20,1,5,7.25018e-4,ASV_00020,UK1
20,1,6,6.89285e-5,ASV_00020,UK2
20,1,7,1.41533e-4,ASV_00020,SE1
21,1,2,6.45985e-4,ASV_00021,IT2
21,1,3,2.17763e-5,ASV_00021,IT3
21,1,4,3.39231e-4,ASV_00021,FI1
21,1,5,7.811e-4,ASV_00021,UK1
21,1,6,1.05833e-4,ASV_00021,UK2
21,1,7,2.74945e-4,ASV_00021,SE1
22,1,1,3.23731e-4,ASV_00022,IT1
22,1,2,4.49644e-4,ASV_00022,IT2
22,1,3,5.81752e-5,ASV_00022,IT3
22,1,4,3.78504e-4,ASV_00022,FI1
22,1,5,7.56542e-4,ASV_00022,UK1
22,1,6,1.55379e-4,ASV_00022,UK2
22,1,7,3.31038e-4,ASV_00022,SE1
23,1,1,2.28973e-4,ASV_00023,IT1
23,1,2,1.87665e-4,ASV_00023,IT2
23,1,3,3.224e-5,ASV_00023,IT3
23,1,4,2.89396e-4,ASV_00023,FI1
23,1,5,6.47271e-4,ASV_00023,UK1
23,1,6,1.17146e-4,ASV_00023,UK2
23,1,7,3.12277e-4,ASV_00023,SE1
24,1,1,2.83697e-4,ASV_00024,IT1
24,1,2,3.61132e-4,ASV_00024,IT2
24,1,3,4.86716e-5,ASV_00024,IT3
24,1,4,5.45117e-4,ASV_00024,FI1
