from,PF_J,PF_J_sd,num_layers,run
ASV_00001,0.060193084580739534,0.06275426961536214,5,304
ASV_00002,0.06545139820478388,0.04052326981259268,7,304
ASV_00003,0.0762217259045828,0.06193108119216362,7,304
ASV_00004,0.060663073684232995,0.052106957250720835,7,304
ASV_00005,0.04962692561218925,0.034229931340294874,7,304
ASV_00006,0.057439869931937046,0.036133922128955796,7,304
ASV_00007,0.06582217375783818,0.03926373428150831,7,304
ASV_00008,0.06424181306876545,0.04386106939501218,7,304
ASV_00009,0.06746964974372928,0.04910243314086627,7,304
ASV_00010,0.051005714932678727,0.04120740956211084,7,304
ASV_00011,0.06402443616688785,0.04453649001953166,7,304
ASV_00012,0.11065699342897299,0.056199586005090126,6,304
ASV_00013,0.045422855936486664,0.032918795602977585,7,304
ASV_00014,0.0565057968602975,0.05062983857312853,7,304
ASV_00015,0.07491496491110777,0.055635415229746334,7,304
ASV_00016,0.05400934947094858,0.05317548922927703,6,304
ASV_00017,0.03472184053473661,0.028474233136454197,5,304
ASV_00018,0.07853978125472406,0.05066690511728619,7,304
ASV_00019,0.06015869665192938,0.04750610140168595,7,304
ASV_00020,0.07046803517389785,0.04530050694666889,7,304
ASV_00021,0.05117408632751572,0.03129718794805139,6,304
ASV_00022,0.06716058835305062,0.04115728802800525,7,304
ASV_00023,0.07290182841439918,0.05797114678887433,7,304
ASV_00024,0.05235231282644486,0.0424066021386994,7,304
ASV_00025,0.06552421642254404,0.04182900540120344,4,304
ASV_00026,0.06664974596769699,0.052734742898223136,7,304
ASV_00028,0.06697064337121758,0.04816965461256816,7,304
ASV_00029,0.06280605311468004,0.04188156913972482,7,304
ASV_00030,0.08261289802162544,0.056741031716686964,7,304
ASV_00031,0.06930202850357318,0.04755933743641863,7,304
ASV_00032,0.06126719697230015,0.048783421287928765,7,304
ASV_00033,0.04909785680286315,0.04556807443146865,7,304
ASV_00034,0.058690108690564534,0.04260302474359739,7,304
ASV_00035,0.0675786426973618,0.05863477713305748,7,304
ASV_00036,0.054042986131681896,0.03988659962590679,7,304
ASV_00037,0.064495982555491,0.04532345839155954,6,304
ASV_00038,0.08415968053281682,0.04256304888060682,5,304
ASV_00039,0.07293971712971321,0.04112562294634246,5,304
ASV_00040,0.05468508140707348,0.05085058424582087,7,304
ASV_00041,0.0653204512057506,0.044199420190101195,6,304
ASV_00042,0.07556695390903434,0.043025165922798585,7,304
ASV_00043,0.045728320310491774,0.05300152345239404,5,304
ASV_00044,0.058413677155148155,0.041372824364242465,7,304
ASV_00045,0.08633888985371169,0.04166295578268336,6,304
ASV_00046,0.06835152783762705,0.058003859627734536,7,304
ASV_00047,0.09527089578235977,0.07784635599099175,4,304
ASV_00048,0.07283003091704014,0.0401750917112588,7,304
ASV_00049,0.07301026946397117,0.060380482977495,6,304
ASV_00050,0.06351921152251122,0.06087205985100092,6,304
ASV_00051,0.06394065639215346,0.0581400525218161,7,304
ASV_00052,0.05095408897995811,0.037209821713360805,6,304
ASV_00053,0.07761980134855084,0.04764678483679851,7,304
ASV_00054,0.04316302664321346,0.028163422231081956,7,304
ASV_00055,0.057816531046281254,0.04206695096201908,7,304
