from,to,weight,edge_type,level,level_name
ASV_00001,ASV_00008,0.4728682170542636,pos,Farm,UK2
ASV_00001,ASV_00016,0.464,pos,Farm,UK2
ASV_00001,ASV_00021,0.448,pos,Farm,UK2
ASV_00001,ASV_00029,0.46875,pos,Farm,UK2
ASV_00001,ASV_00043,0.4846153846153846,pos,Farm,UK2
ASV_00001,ASV_00066,0.4765625,pos,Farm,UK2
ASV_00001,ASV_00073,0.4634146341463415,pos,Farm,UK2
ASV_00001,ASV_00074,0.4961832061068702,pos,Farm,UK2
ASV_00001,ASV_00084,0.47692307692307695,pos,Farm,UK2
ASV_00001,ASV_00086,0.5,pos,Farm,UK2
ASV_00001,ASV_00103,0.47692307692307695,pos,Farm,UK2
ASV_00001,ASV_00110,0.5,pos,Farm,UK2
ASV_00001,ASV_00123,0.48872180451127817,pos,Farm,UK2
ASV_00001,ASV_00128,0.4609375,pos,Farm,UK2
ASV_00001,ASV_00132,0.48091603053435117,pos,Farm,UK2
ASV_00001,ASV_00205,0.456,pos,Farm,UK2
ASV_00001,ASV_00210,0.47244094488188976,pos,Farm,UK2
ASV_00001,ASV_00224,0.4765625,pos,Farm,UK2
ASV_00001,ASV_00230,0.5079365079365079,pos,Farm,UK2
ASV_00001,ASV_00282,0.5038167938931297,pos,Farm,UK2
ASV_00001,ASV_00285,0.4603174603174603,pos,Farm,UK2
ASV_00001,ASV_00287,0.5151515151515151,pos,Farm,UK2
ASV_00001,ASV_00293,0.49206349206349204,pos,Farm,UK2
ASV_00001,ASV_00309,0.472,pos,Farm,UK2
ASV_00001,ASV_00328,0.49206349206349204,pos,Farm,UK2
ASV_00001,ASV_00351,0.49242424242424243,pos,Farm,UK2
ASV_00001,ASV_00392,0.4609375,pos,Farm,UK2
ASV_00001,ASV_00411,0.4765625,pos,Farm,UK2
ASV_00001,ASV_00448,0.47244094488188976,pos,Farm,UK2
ASV_00001,ASV_00452,0.48,pos,Farm,UK2
ASV_00001,ASV_00464,0.504,pos,Farm,UK2
ASV_00001,ASV_00468,0.43548387096774194,pos,Farm,UK2
ASV_00001,ASV_00494,0.5210084033613446,pos,Farm,UK2
ASV_00001,ASV_00504,0.4566929133858268,pos,Farm,UK2
ASV_00001,ASV_00512,0.5153846153846153,pos,Farm,UK2
ASV_00001,ASV_00529,0.43089430894308944,pos,Farm,UK2
ASV_00001,ASV_00545,0.4728682170542636,pos,Farm,UK2
ASV_00001,ASV_00554,0.4765625,pos,Farm,UK2
ASV_00001,ASV_00572,0.4728682170542636,pos,Farm,UK2
ASV_00001,ASV_00589,0.5303030303030303,pos,Farm,UK2
ASV_00001,ASV_00602,0.4645669291338583,pos,Farm,UK2
ASV_00001,ASV_00645,0.484375,pos,Farm,UK2
ASV_00001,ASV_00682,0.48031496062992124,pos,Farm,UK2
ASV_00001,ASV_00730,0.48484848484848486,pos,Farm,UK2
ASV_00001,ASV_00801,0.4883720930232558,pos,Farm,UK2
ASV_00001,ASV_00825,0.4806201550387597,pos,Farm,UK2
ASV_00001,ASV_00832,0.4435483870967742,pos,Farm,UK2
ASV_00001,ASV_00976,0.48412698412698413,pos,Farm,UK2
ASV_00001,ASV_01101,0.5,pos,Farm,UK2
ASV_00002,ASV_00007,0.46875,pos,Farm,UK2
ASV_00002,ASV_00038,0.528,pos,Farm,UK2
ASV_00002,ASV_00050,0.515625,pos,Farm,UK2
ASV_00002,ASV_00060,0.46825396825396826,pos,Farm,UK2
ASV_00002,ASV_00081,0.47580645161290325,pos,Farm,UK2
ASV_00002,ASV_00102,0.48031496062992124,pos,Farm,UK2
ASV_00002,ASV_00130,0.46825396825396826,pos,Farm,UK2
ASV_00002,ASV_00138,0.47692307692307695,pos,Farm,UK2
ASV_00002,ASV_00141,0.47692307692307695,pos,Farm,UK2
ASV_00002,ASV_00147,0.472,pos,Farm,UK2
ASV_00002,ASV_00163,0.5,pos,Farm,UK2
ASV_00002,ASV_00164,0.4765625,pos,Farm,UK2
