taxa_from,PF_T,PF_T_sd,num_layers,taxa,run
Actinobacteria,0.4311620752396019,0.3216384450754274,6,Class,466
Alphaproteobacteria,0.3030839397516789,0.2677697319201828,6,Class,466
Bacilli,0.3717226030551056,0.2864930952940142,7,Class,466
Bacteroidia,0.521094170847871,0.31058631678762993,7,Class,466
Clostridia,0.47204625198596695,0.3021030139216148,7,Class,466
Coriobacteriia,0.478211360734433,0.23004956930735562,6,Class,466
Desulfovibrionia,0.5714112001306182,0.19688953342959134,6,Class,466
Fibrobacteria,0.4472845396186444,0.2812002885076905,7,Class,466
Gammaproteobacteria,0.540840610069958,0.2708544396632352,7,Class,466
Gracilibacteria,0.4435523198895627,0.25229904956088317,7,Class,466
Kiritimatiellae,0.5287706185820726,0.311357144108039,7,Class,466
Lentisphaeria,0.41421669706004866,0.2733230716859679,7,Class,466
MVP-15,0.3648648648648649,NA,2,Class,466
Methanobacteria,0.42842935759794387,0.2715921062841297,7,Class,466
Negativicutes,0.5397044020667029,0.27725576619789505,7,Class,466
Spirochaetia,0.46533901902001773,0.2712990022558064,7,Class,466
Thermoplasmata,0.3460410557184751,NA,2,Class,466
Absconditabacteriales_(SR1),0.43803113912205405,0.2474655397223993,7,Order,466
Acetobacterales,0.35801064561136037,0.19783554740743184,4,Order,466
Acholeplasmatales,0.38876831358770597,0.2939065158035355,7,Order,466
Acidaminococcales,0.4962973238102899,0.2388942276042384,7,Order,466
Aeromonadales,0.5045387348244643,0.25229751738743,7,Order,466
Bacteroidales,0.5172112180902677,0.3074551886447273,7,Order,466
Bifidobacteriales,0.4235458556913261,0.3123846570405109,6,Order,466
Burkholderiales,0.6193548387096774,NA,2,Order,466
Christensenellales,0.42900613144639915,0.2938002494241194,7,Order,466
Clostridia_UCG-014,0.46565596477751137,0.29082192240555976,7,Order,466
Clostridia_or,0.39084217151760453,0.2672408015461311,7,Order,466
Coriobacteriales,0.4719877782546685,0.22296598292691705,6,Order,466
Desulfovibrionales,0.5614989611988542,0.18891500369950148,6,Order,466
Eubacteriales,0.5679012345679013,NA,2,Order,466
Fibrobacterales,0.44311380579850945,0.27647360416916306,7,Order,466
Lachnospirales,0.475998557781406,0.30633838518959206,7,Order,466
Lactobacillales,0.34614040853036304,0.22907117448569136,3,Order,466
Methanobacteriales,0.42494436830428317,0.2679245099853439,7,Order,466
Methanomassiliicoccales,0.33136094674556216,NA,2,Order,466
Oligosphaerales,0.7567251184093858,0.12322436037262884,4,Order,466
Oscillospirales,0.4841671342415827,0.29544188685595146,7,Order,466
Peptostreptococcales-Tissierellales,0.5603182526907813,0.19262642950320039,6,Order,466
Rhodospirillales,0.4406498640187623,0.30845336500440856,4,Order,466
Spirochaetales,0.4622789849423784,0.26853336262643884,7,Order,466
Veillonellales-Selenomonadales,0.5342283404047354,0.29073668850182066,7,Order,466
Victivallales,0.48526788515416,0.2647524153555485,7,Order,466
WCHB1-41,0.5225189431971426,0.30475001671419144,7,Order,466
Acetobacteraceae,0.35613062276021556,0.19398681235793586,4,Family,466
Acholeplasmataceae,0.37614027222812674,0.2782926450434484,7,Family,466
Acidaminococcaceae,0.48523717651790405,0.22291705170470308,7,Family,466
Anaerovoracaceae,0.5525890214191028,0.18643200830500595,6,Family,466
Atopobiaceae,0.5364089267746923,0.20388862022838053,6,Family,466
Bacteroidales_BS11_gut_group,0.5395908662447784,0.29589331520722645,7,Family,466
Bacteroidales_RF16_group,0.44117886086392355,0.24428720266623963,7,Family,466
Bacteroidales_UCG-001,0.34314599753640035,0.20456955163177745,4,Family,466
Bifidobacteriaceae,0.41174461109184357,0.3016342286902071,6,Family,466
Christensenellaceae,0.4216598445262793,0.28164853671657875,7,Family,466
