node_id,module,layer_id,flow,node_name,layer_name,short_name
1,1,1,1.46473e-4,ASV_00001,NUDC,UK1
1,7,2,2.03036e-4,ASV_00001,Park,UK2
1,8,3,1.69837e-5,ASV_00001,Bian,IT1
1,9,5,1.35464e-5,ASV_00001,Gand,IT3
1,3,7,1.6483e-5,ASV_00001,Raab,SE1
2,1,1,3.49849e-4,ASV_00002,NUDC,UK1
2,4,2,5.42269e-4,ASV_00002,Park,UK2
2,6,3,2.93501e-4,ASV_00002,Bian,IT1
2,2,4,3.90934e-4,ASV_00002,Fran,IT2
2,2,5,1.02704e-4,ASV_00002,Gand,IT3
2,3,7,1.77724e-4,ASV_00002,Raab,SE1
3,3,7,1.13222e-4,ASV_00003,Raab,SE1
4,3,7,2.46321e-5,ASV_00004,Raab,SE1
5,1,1,3.83031e-4,ASV_00005,NUDC,UK1
5,4,2,2.61663e-4,ASV_00005,Park,UK2
5,6,3,2.93616e-4,ASV_00005,Bian,IT1
5,2,4,2.05572e-4,ASV_00005,Fran,IT2
5,2,5,2.8981e-5,ASV_00005,Gand,IT3
6,3,7,2.46321e-5,ASV_00006,Raab,SE1
7,8,3,5.4203e-5,ASV_00007,Bian,IT1
7,9,5,1.32843e-5,ASV_00007,Gand,IT3
7,5,6,7.48317e-5,ASV_00007,Mink,FI1
7,3,7,3.6423e-4,ASV_00007,Raab,SE1
8,1,1,1.29228e-4,ASV_00008,NUDC,UK1
8,6,3,2.9565e-4,ASV_00008,Bian,IT1
8,10,5,3.65577e-6,ASV_00008,Gand,IT3
8,11,6,2.63494e-6,ASV_00008,Mink,FI1
8,3,7,6.99412e-5,ASV_00008,Raab,SE1
9,1,1,9.60206e-6,ASV_00009,NUDC,UK1
9,4,2,1.87717e-5,ASV_00009,Park,UK2
9,6,3,2.50966e-5,ASV_00009,Bian,IT1
9,2,4,2.55895e-5,ASV_00009,Fran,IT2
9,9,5,1.50921e-5,ASV_00009,Gand,IT3
9,11,6,4.03744e-6,ASV_00009,Mink,FI1
9,3,7,3.46025e-4,ASV_00009,Raab,SE1
10,1,1,2.01794e-4,ASV_00010,NUDC,UK1
10,4,2,5.56257e-5,ASV_00010,Park,UK2
10,6,3,2.7659e-4,ASV_00010,Bian,IT1
10,2,4,1.21084e-5,ASV_00010,Fran,IT2
10,3,7,8.6212e-5,ASV_00010,Raab,SE1
11,1,1,1.20589e-4,ASV_00011,NUDC,UK1
11,4,2,1.51441e-4,ASV_00011,Park,UK2
11,6,3,2.39534e-4,ASV_00011,Bian,IT1
11,2,4,1.5853e-5,ASV_00011,Fran,IT2
11,10,5,3.26444e-6,ASV_00011,Gand,IT3
11,3,7,8.42474e-5,ASV_00011,Raab,SE1
12,1,1,1.99035e-5,ASV_00012,NUDC,UK1
12,6,3,2.9079e-5,ASV_00012,Bian,IT1
12,2,4,2.00125e-4,ASV_00012,Fran,IT2
12,2,5,2.71102e-5,ASV_00012,Gand,IT3
12,5,6,1.72981e-5,ASV_00012,Mink,FI1
12,3,7,4.34596e-4,ASV_00012,Raab,SE1
13,1,1,3.21846e-4,ASV_00013,NUDC,UK1
13,4,2,4.39102e-5,ASV_00013,Park,UK2
13,8,3,1.49549e-4,ASV_00013,Bian,IT1
13,2,4,2.55533e-5,ASV_00013,Fran,IT2
13,2,5,3.01733e-5,ASV_00013,Gand,IT3
13,5,6,2.1739e-4,ASV_00013,Mink,FI1
13,3,7,4.24803e-4,ASV_00013,Raab,SE1
14,1,1,3.5419e-4,ASV_00014,NUDC,UK1
14,4,2,2.60516e-4,ASV_00014,Park,UK2
14,6,3,2.33417e-4,ASV_00014,Bian,IT1
14,2,4,5.81848e-5,ASV_00014,Fran,IT2
15,1,1,3.1038e-4,ASV_00015,NUDC,UK1
15,4,2,2.64013e-4,ASV_00015,Park,UK2
15,6,3,2.31932e-4,ASV_00015,Bian,IT1
15,2,4,2.85288e-4,ASV_00015,Fran,IT2
15,2,5,3.89911e-5,ASV_00015,Gand,IT3
16,1,1,3.42893e-4,ASV_00016,NUDC,UK1
16,4,2,4.72297e-4,ASV_00016,Park,UK2
16,2,4,4.69925e-4,ASV_00016,Fran,IT2
16,2,5,8.74621e-5,ASV_00016,Gand,IT3
16,5,6,3.44976e-5,ASV_00016,Mink,FI1
16,3,7,4.18607e-4,ASV_00016,Raab,SE1
17,1,1,4.17099e-4,ASV_00017,NUDC,UK1
17,7,2,2.67595e-4,ASV_00017,Park,UK2
17,8,3,1.64e-4,ASV_00017,Bian,IT1
17,2,4,3.51739e-4,ASV_00017,Fran,IT2
17,8,5,6.2262e-5,ASV_00017,Gand,IT3
18,1,1,4.8477e-4,ASV_00018,NUDC,UK1
18,4,2,3.37303e-4,ASV_00018,Park,UK2
18,6,3,3.07343e-4,ASV_00018,Bian,IT1
18,2,4,2.88716e-4,ASV_00018,Fran,IT2
18,2,5,4.40267e-6,ASV_00018,Gand,IT3
18,5,6,2.53945e-5,ASV_00018,Mink,FI1
19,1,1,3.39847e-5,ASV_00019,NUDC,UK1
19,6,3,1.74039e-4,ASV_00019,Bian,IT1
19,2,4,2.60186e-5,ASV_00019,Fran,IT2
19,2,5,3.85508e-5,ASV_00019,Gand,IT3
19,5,6,3.81059e-5,ASV_00019,Mink,FI1
19,3,7,7.53921e-5,ASV_00019,Raab,SE1
20,7,2,3.10858e-5,ASV_00020,Park,UK2
20,8,5,7.58394e-6,ASV_00020,Gand,IT3
20,5,6,2.66302e-4,ASV_00020,Mink,FI1
20,3,7,4.6545e-4,ASV_00020,Raab,SE1
21,1,1,4.83922e-4,ASV_00021,NUDC,UK1
21,4,2,4.50847e-4,ASV_00021,Park,UK2
21,6,3,2.2647e-4,ASV_00021,Bian,IT1
21,2,4,5.67668e-4,ASV_00021,Fran,IT2
21,2,5,1.10238e-4,ASV_00021,Gand,IT3
21,3,7,2.69877e-6,ASV_00021,Raab,SE1
22,6,3,9.90693e-5,ASV_00022,Bian,IT1
22,9,5,1.28954e-5,ASV_00022,Gand,IT3
22,3,7,4.74418e-4,ASV_00022,Raab,SE1
23,1,1,9.09063e-5,ASV_00023,NUDC,UK1
23,6,3,7.82841e-5,ASV_00023,Bian,IT1
23,2,5,2.39848e-5,ASV_00023,Gand,IT3
23,3,7,2.69236e-5,ASV_00023,Raab,SE1
24,1,1,3.70556e-4,ASV_00024,NUDC,UK1
24,4,2,5.77083e-5,ASV_00024,Park,UK2
24,6,3,1.5492e-4,ASV_00024,Bian,IT1
24,2,4,1.56924e-4,ASV_00024,Fran,IT2
24,8,5,1.80955e-5,ASV_00024,Gand,IT3
24,5,6,8.06532e-5,ASV_00024,Mink,FI1
24,3,7,2.86109e-4,ASV_00024,Raab,SE1
25,1,1,3.28324e-4,ASV_00025,NUDC,UK1
25,7,2,1.4395e-4,ASV_00025,Park,UK2
25,8,3,1.31047e-4,ASV_00025,Bian,IT1
25,2,4,3.59202e-4,ASV_00025,Fran,IT2
25,8,5,8.76473e-5,ASV_00025,Gand,IT3
26,1,1,1.96128e-4,ASV_00026,NUDC,UK1
26,6,3,2.83962e-4,ASV_00026,Bian,IT1
26,2,4,5.65999e-4,ASV_00026,Fran,IT2
26,2,5,1.06916e-4,ASV_00026,Gand,IT3
26,3,7,4.90902e-4,ASV_00026,Raab,SE1
27,5,6,2.6554e-4,ASV_00027,Mink,FI1
27,3,7,8.57923e-6,ASV_00027,Raab,SE1
28,1,1,1.62682e-5,ASV_00028,NUDC,UK1
28,6,3,3.66732e-5,ASV_00028,Bian,IT1
28,5,6,3.38786e-5,ASV_00028,Mink,FI1
28,3,7,4.42367e-4,ASV_00028,Raab,SE1
29,1,1,1.34239e-5,ASV_00029,NUDC,UK1
29,6,3,1.62823e-4,ASV_00029,Bian,IT1
29,9,5,1.3931e-5,ASV_00029,Gand,IT3
29,5,6,7.20249e-5,ASV_00029,Mink,FI1
29,3,7,2.09553e-4,ASV_00029,Raab,SE1
30,1,1,5.8825e-4,ASV_00030,NUDC,UK1
30,4,2,1.80454e-4,ASV_00030,Park,UK2
30,6,3,2.4877e-4,ASV_00030,Bian,IT1
30,2,4,3.70486e-4,ASV_00030,Fran,IT2
30,2,5,6.31037e-6,ASV_00030,Gand,IT3
30,3,7,3.93482e-4,ASV_00030,Raab,SE1
31,1,1,1.66046e-4,ASV_00031,NUDC,UK1
31,4,2,1.68194e-5,ASV_00031,Park,UK2
31,6,3,2.85183e-4,ASV_00031,Bian,IT1
31,2,4,1.92071e-4,ASV_00031,Fran,IT2
31,2,5,2.1251e-5,ASV_00031,Gand,IT3
