"","V1","V2","V3","V4","V5","V6","Farm","Cow_Code","Country"
"1",98,98,0,0,2,-9,"UK1","UK98","UK"
"2",99,99,0,0,2,-9,"UK1","UK99","UK"
"3",10,10,0,0,2,-9,"UK1","UK10","UK"
"4",100,100,0,0,2,-9,"UK1","UK100","UK"
"5",1000,1000,0,0,2,-9,"UK2","UK1000","UK"
"6",1001,1001,0,0,2,-9,"UK2","UK1001","UK"
"7",1002,1002,0,0,2,-9,"UK2","UK1002","UK"
"8",1003,1003,0,0,2,-9,"UK2","UK1003","UK"
"9",1004,1004,0,0,2,-9,"UK2","UK1004","UK"
"10",1005,1005,0,0,2,-9,"UK2","UK1005","UK"
"11",1006,1006,0,0,2,-9,"UK2","UK1006","UK"
"12",1007,1007,0,0,2,-9,"IT2","IT1007","IT"
"13",1008,1008,0,0,2,-9,"IT2","IT1008","IT"
"14",101,101,0,0,2,-9,"UK1","UK101","UK"
"15",1010,1010,0,0,2,-9,"IT2","IT1010","IT"
"16",1011,1011,0,0,2,-9,"IT2","IT1011","IT"
"17",1012,1012,0,0,2,-9,"IT2","IT1012","IT"
"18",1013,1013,0,0,2,-9,"IT2","IT1013","IT"
"19",1014,1014,0,0,2,-9,"IT2","IT1014","IT"
"20",1015,1015,0,0,2,-9,"IT2","IT1015","IT"
"21",1016,1016,0,0,2,-9,"IT2","IT1016","IT"
"22",102,102,0,0,2,-9,"UK1","UK102","UK"
"23",103,103,0,0,2,-9,"UK1","UK103","UK"
"24",104,104,0,0,2,-9,"UK1","UK104","UK"
"25",105,105,0,0,2,-9,"UK1","UK105","UK"
"26",106,106,0,0,2,-9,"UK1","UK106","UK"
"27",107,107,0,0,2,-9,"UK1","UK107","UK"
"28",108,108,0,0,2,-9,"UK1","UK108","UK"
"29",109,109,0,0,2,-9,"UK1","UK109","UK"
"30",11,11,0,0,2,-9,"UK1","UK11","UK"
"31",110,110,0,0,2,-9,"UK1","UK110","UK"
"32",111,111,0,0,2,-9,"UK1","UK111","UK"
"33",112,112,0,0,2,-9,"UK1","UK112","UK"
"34",113,113,0,0,2,-9,"UK1","UK113","UK"
"35",114,114,0,0,2,-9,"UK1","UK114","UK"
"36",115,115,0,0,2,-9,"UK1","UK115","UK"
"37",116,116,0,0,2,-9,"UK1","UK116","UK"
"38",117,117,0,0,2,-9,"UK1","UK117","UK"
"39",118,118,0,0,2,-9,"UK1","UK118","UK"
"40",119,119,0,0,2,-9,"UK1","UK119","UK"
"41",120,120,0,0,2,-9,"UK1","UK120","UK"
"42",121,121,0,0,2,-9,"UK1","UK121","UK"
"43",122,122,0,0,2,-9,"UK1","UK122","UK"
"44",123,123,0,0,2,-9,"UK1","UK123","UK"
"45",124,124,0,0,2,-9,"UK1","UK124","UK"
"46",125,125,0,0,2,-9,"UK1","UK125","UK"
"47",126,126,0,0,2,-9,"UK1","UK126","UK"
"48",127,127,0,0,2,-9,"UK1","UK127","UK"
"49",128,128,0,0,2,-9,"UK1","UK128","UK"
"50",129,129,0,0,2,-9,"UK1","UK129","UK"
"51",13,13,0,0,2,-9,"UK1","UK13","UK"
"52",130,130,0,0,2,-9,"UK1","UK130","UK"
"53",131,131,0,0,2,-9,"UK1","UK131","UK"
"54",132,132,0,0,2,-9,"UK1","UK132","UK"
"55",133,133,0,0,2,-9,"UK1","UK133","UK"
"56",134,134,0,0,2,-9,"UK1","UK134","UK"
"57",135,135,0,0,2,-9,"UK1","UK135","UK"
"58",136,136,0,0,2,-9,"UK1","UK136","UK"
"59",137,137,0,0,2,-9,"UK1","UK137","UK"
"60",138,138,0,0,2,-9,"UK1","UK138","UK"
"61",139,139,0,0,2,-9,"UK1","UK139","UK"
"62",14,14,0,0,2,-9,"UK1","UK14","UK"
"63",140,140,0,0,2,-9,"UK1","UK140","UK"
"64",141,141,0,0,2,-9,"UK1","UK141","UK"
"65",142,142,0,0,2,-9,"UK1","UK142","UK"
"66",143,143,0,0,2,-9,"UK1","UK143","UK"
"67",144,144,0,0,2,-9,"UK1","UK144","UK"
"68",145,145,0,0,2,-9,"UK1","UK145","UK"
"69",146,146,0,0,2,-9,"UK1","UK146","UK"
"70",147,147,0,0,2,-9,"UK1","UK147","UK"
"71",148,148,0,0,2,-9,"UK1","UK148","UK"
