node_id,level1,leaf_id,layer_id,flow,node_name,layer_name,short_name
1,1,455,1,3.15958e-4,ASV_00001,NUDC,UK1
1,6,43,2,3.27222e-4,ASV_00001,Park,UK2
1,1,815,3,3.53129e-5,ASV_00001,Bian,IT1
1,8,4,5,2.86295e-5,ASV_00001,Gand,IT3
2,1,287,1,4.34133e-4,ASV_00002,NUDC,UK1
2,3,3,2,9.42661e-4,ASV_00002,Park,UK2
2,1,559,3,2.56884e-4,ASV_00002,Bian,IT1
2,2,177,4,5.8878e-4,ASV_00002,Fran,IT2
2,2,516,5,1.83191e-4,ASV_00002,Gand,IT3
2,4,154,7,3.33803e-4,ASV_00002,Raab,SE1
3,4,233,7,2.44387e-4,ASV_00003,Raab,SE1
4,4,434,7,5.40696e-5,ASV_00004,Raab,SE1
5,1,112,1,7.05536e-4,ASV_00005,NUDC,UK1
5,3,81,2,5.67612e-4,ASV_00005,Park,UK2
5,1,338,3,3.85137e-4,ASV_00005,Bian,IT1
5,2,278,4,4.40104e-4,ASV_00005,Fran,IT2
5,2,609,5,5.43151e-5,ASV_00005,Gand,IT3
6,4,435,7,5.40696e-5,ASV_00006,Raab,SE1
7,1,738,3,1.18707e-4,ASV_00007,Bian,IT1
7,8,3,5,2.871e-5,ASV_00007,Gand,IT3
7,5,220,6,1.51123e-4,ASV_00007,Mink,FI1
7,4,52,7,5.85343e-4,ASV_00007,Raab,SE1
8,1,512,1,2.83451e-4,ASV_00008,NUDC,UK1
8,1,265,3,4.5151e-4,ASV_00008,Bian,IT1
8,9,1,5,8.07159e-6,ASV_00008,Gand,IT3
8,10,2,6,5.82579e-6,ASV_00008,Mink,FI1
8,4,354,7,1.51197e-4,ASV_00008,Raab,SE1
9,1,841,1,2.14146e-5,ASV_00009,NUDC,UK1
9,7,4,2,4.15189e-5,ASV_00009,Park,UK2
9,1,787,3,5.50867e-5,ASV_00009,Bian,IT1
9,2,604,4,5.69852e-5,ASV_00009,Fran,IT2
9,8,1,5,3.27413e-5,ASV_00009,Gand,IT3
9,10,1,6,8.95941e-6,ASV_00009,Mink,FI1
9,4,93,7,4.50091e-4,ASV_00009,Raab,SE1
10,1,281,1,4.37657e-4,ASV_00010,NUDC,UK1
10,3,346,2,1.23673e-4,ASV_00010,Park,UK2
10,1,304,3,4.16416e-4,ASV_00010,Bian,IT1
10,2,651,4,2.70567e-5,ASV_00010,Fran,IT2
10,4,298,7,1.86901e-4,ASV_00010,Raab,SE1
11,1,553,1,2.61579e-4,ASV_00011,NUDC,UK1
11,3,173,2,3.30927e-4,ASV_00011,Park,UK2
11,1,317,3,4.03224e-4,ASV_00011,Bian,IT1
11,2,642,4,3.52392e-5,ASV_00011,Fran,IT2
11,9,2,5,7.11968e-6,ASV_00011,Gand,IT3
11,4,304,7,1.82698e-4,ASV_00011,Raab,SE1
12,1,819,1,3.35426e-5,ASV_00012,NUDC,UK1
12,1,831,3,2.66636e-5,ASV_00012,Bian,IT1
12,2,438,4,2.62674e-4,ASV_00012,Fran,IT2
12,5,297,6,2.73698e-5,ASV_00012,Mink,FI1
12,4,6,7,8.46516e-4,ASV_00012,Raab,SE1
13,1,185,1,5.7588e-4,ASV_00013,NUDC,UK1
13,3,363,2,9.49412e-5,ASV_00013,Park,UK2
13,1,530,3,2.75485e-4,ASV_00013,Bian,IT1
13,2,602,4,5.74433e-5,ASV_00013,Fran,IT2
13,2,632,5,3.92476e-5,ASV_00013,Gand,IT3
13,5,80,6,3.05287e-4,ASV_00013,Mink,FI1
13,4,62,7,5.54398e-4,ASV_00013,Raab,SE1
14,1,147,1,6.48198e-4,ASV_00014,NUDC,UK1
